size,seq_avg4_sec,mpi_np3_avg4_sec,speedup_avg4,efficiency_avg4,seq_first3_sec,mpi_first3_sec,speedup_first3,seq_last3_sec,mpi_last3_sec,speedup_last3,mpi_min_sec,mpi_max_sec,max_obj_diff,max_mpi_row_error,max_mpi_col_error
2000,0.63696578525,0.55732958675,1.14288887652,0.380962958839,0.664700465333,0.558493818333,1.19016619972,0.526594494333,0.559381863,0.941386428779,0.551172758,0.563523654,3.23352455922e-15,2.00414123773e-09,2.00414120889e-09
3000,1.333902094,0.7597729055,1.75565894012,0.585219646706,1.39092861467,0.769902025667,1.80663067286,1.13800363467,0.766583887333,1.48451285433,0.729385545,0.808492994,1.87350135405e-15,3.00412388433e-09,3.00412393356e-09
4000,2.4711400785,1.1326590715,2.18171569952,0.727238566508,2.540536193,1.170870198,2.16978465874,2.161304671,1.09366781367,1.97619848001,1.018025692,1.249632845,5.38458166943e-15,4.00399867754e-09,4.00399867152e-09
5000,3.55242817275,1.700114438,2.08952297172,0.696507657239,3.65556679,1.761743505,2.07497106113,3.265302714,1.51466689067,2.15578932511,1.506098246,2.25645708,7.86870568703e-15,5.00400276234e-09,5.00400278551e-09
6000,5.40062073075,2.21399787875,2.43930709355,0.813102364518,5.14972192433,2.31555031967,2.22397323029,5.24752500867,2.13689877033,2.45567318467,1.909340556,2.530962919,9.27036225562e-15,6.00400156878e-09,6.0040015786e-09
7000,6.76465668375,2.6940511605,2.51096073561,0.836986911871,6.923857324,2.734213033,2.5323035332,6.28322645033,2.555912305,2.4583106541,2.456652503,3.108467727,2.25514051877e-14,7.00396135864e-09,7.00396136054e-09
8000,8.88135788725,3.677253041,2.41521532193,0.805071773978,8.983141608,3.80170716,2.36292308427,8.46502676967,3.46603814067,2.44227744362,3.181865485,4.310897742,2.96290769697e-14,8.00396139297e-09,8.00396141105e-09
9000,11.2250853705,4.262493756,2.63345497098,0.877818323659,11.0306004143,4.366068573,2.5264377391,10.8418120343,4.05177393367,2.67581859497,3.951769305,4.894653223,1.29202204491e-14,9.00395701045e-09,9.00395696792e-09
10000,13.4113757227,4.99454195725,2.68520633875,0.895068779583,13.6441974717,5.12960889467,2.65989040331,12.473802693,4.88852818567,2.55164790285,4.589341145,5.312583272,3.899658374e-15,1.00039396368e-08,1.00039396177e-08
11000,15.5787412732,5.9415071045,2.62201845411,0.874006151371,15.7064836703,6.05360514167,2.5945669238,15.006529012,5.690283026,2.63722014238,5.472808935,6.69517934,1.55014889813e-14,1.10039225418e-08,1.10039225755e-08
12000,19.6725738772,6.81687609075,2.8858634975,0.961954499165,20.053768652,6.94325998667,2.88823530885,18.7788387203,6.572124776,2.85734665125,6.437724403,7.551130035,6.44762021551e-14,1.20039107531e-08,1.20039107226e-08
