variant,size,rep,runtime_sec,iterations,row_error,col_error,objective,num_processes,partition_mode,rank_weights_csv,suggested_rank_weights_csv,json,log
contiguous,8000,1,4.444335856,50,8.003961401347121e-09,8.003961408773906e-09,0.09999732950016102,6,contiguous,"1,1,1,1,1,1","0.661893948,0.9459894799,1.400096568,0.6813612679,0.9328268276,1.377831908",/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/contiguous_8000_np6_rep1.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/logs/contiguous_8000_np6_rep1.log
contiguous,8000,2,4.263983934,50,8.003961401347121e-09,8.003961408773906e-09,0.09999732950016102,6,contiguous,"1,1,1,1,1,1","0.6552446771,1.151594095,1.227116223,0.6336013303,1.146816586,1.185627089",/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/contiguous_8000_np6_rep2.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/logs/contiguous_8000_np6_rep2.log
seq,8000,1,9.156057031000001,50,8.003961391426671e-09,8.003961402810794e-09,0.09999732950020368,1,contiguous,,,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/seq_8000_rep1.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/logs/seq_8000_rep1.log
seq,8000,2,12.226540708,50,8.003961391426671e-09,8.003961402810794e-09,0.09999732950020368,1,contiguous,,,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/seq_8000_rep2.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/logs/seq_8000_rep2.log
seq,8000,3,13.851118338,50,8.003961391426671e-09,8.003961402810794e-09,0.09999732950020368,1,contiguous,,,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/seq_8000_rep3.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/logs/seq_8000_rep3.log
weighted_adaptive,8000,1,4.807993535,50,8.003961402621058e-09,8.003961407716809e-09,0.09999732950016481,6,weighted-chunk,"1,1,1,1,1,1","0.6208375318,0.924216191,1.45414864,0.632044398,0.9574557579,1.411297481",/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/weighted_adaptive_8000_np6_rep1.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/logs/weighted_adaptive_8000_np6_rep1.log
weighted_adaptive,8000,2,3.955086196,50,8.003961407039182e-09,8.00396141330045e-09,0.09999732950016627,6,weighted-chunk,"0.8104187659,0.9621080955,1.22707432,0.816022199,0.978727879,1.205648741","0.547121699,1.071014617,1.387109157,0.5638261018,1.085703067,1.345225359",/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/weighted_adaptive_8000_np6_rep2.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/logs/weighted_adaptive_8000_np6_rep2.log
weighted_equal,8000,1,4.409960589,50,8.003961402621058e-09,8.003961407716809e-09,0.09999732950016481,6,weighted-chunk,"1,1,1,1,1,1","0.6311215993,1.035152293,1.327547252,0.6505788304,1.04162011,1.313979916",/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/weighted_equal_8000_np6_rep1.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/logs/weighted_equal_8000_np6_rep1.log
weighted_equal,8000,2,4.323222224,50,8.003961402621058e-09,8.003961407716809e-09,0.09999732950016481,6,weighted-chunk,"1,1,1,1,1,1","0.5769103886,1.101179975,1.30046643,0.60063085,1.101650189,1.319162167",/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/weighted_equal_8000_np6_rep2.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/logs/weighted_equal_8000_np6_rep2.log
weighted_manual_211,8000,1,6.088194273,50,8.003961394787698e-09,8.003961407310233e-09,0.09999732950016646,6,weighted-chunk,"2,1,1,1,1,1","0.6120084798,1.066172808,1.367155749,0.6139527403,0.9893570642,1.35135316",/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/weighted_manual_211_8000_np6_rep1.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_dynamic_congestion_np6_after_ram/logs/weighted_manual_211_8000_np6_rep1.log
