size,max_iters,np,seq_count,mpi_count,seq_avg_sec,mpi_avg_sec,speedup,efficiency,mpi_first3_sec,mpi_last3_sec,max_obj_diff,avg_rank_imbalance_pct,avg_max_rank_compute_sec,avg_max_rank_comm_sec,avg_max_rank_overhead_sec
2000,50,3,4,4,0.63696578525,0.6489498122499999,0.9815331990644244,0.3271777330214748,0.639180617,0.6500844499999999,3.2335245592207684e-15,1.332621580080116,0.24696277275,0.5109224675,0.000319291499999777
3000,50,3,4,4,1.333902094,1.0179792669999999,1.3103430857988192,0.4367810285996064,0.9689150016666667,0.9746827203333334,1.8735013540549517e-15,0.30936512495694113,0.586073626,0.6997018580000001,0.0005326957500002005
4000,50,3,4,4,2.4711400785,1.4514121755,1.7025763736953026,0.5675254578984342,1.4457602836666668,1.4590901273333334,5.384581669432009e-15,0.25005815843450085,0.9789280782499999,0.8870771257499999,0.0004318937500003006
5000,50,3,4,4,3.55242817275,1.9197927715,1.850422725560304,0.616807575186768,1.896551268,1.9826010866666666,7.868705687030797e-15,0.13991546271798724,1.4342564039999997,1.0576253402500002,0.0005468750000000161
6000,50,3,4,4,5.40062073075,2.5167367095,2.145882288903769,0.7152940963012564,2.587433334,2.4015016310000004,9.270362255620057e-15,0.08581779059241437,1.9302285752500001,1.2579789752500001,0.0006518174999996518
7000,50,3,4,4,6.76465668375,3.58734070275,1.885702319426844,0.628567439808948,3.563459249666667,3.559479395,2.2551405187698492e-14,0.10219402692344874,2.9068171262500004,1.8538895765000003,0.0007589335000000585
8000,50,3,4,4,8.881357887250001,4.5393329937499995,1.9565336800535096,0.6521778933511698,4.506875762333333,4.588038301666667,2.9629076969683865e-14,0.057138785275170495,3.8465821917500005,2.3334473059999996,0.0009941325000000223
9000,50,3,4,4,11.2250853705,5.855632421,1.9169723376494026,0.6389907792164675,5.823008030666666,5.609776239666667,1.292022044907526e-14,0.02955343764683042,5.010378059500001,3.01524159175,0.0009681727500000237
10000,50,3,4,4,13.411375722749998,7.60183059675,1.7642297538810907,0.5880765846270303,7.866968652333333,6.918600545333333,3.899658373995862e-15,0.05747937094479425,6.6933996442499994,4.105701085,0.0012014272499988876
11000,50,3,4,4,15.57874127325,8.20865000175,1.8978445018278003,0.6326148339426001,8.268869059333333,8.197594872666667,1.5501488981328748e-14,0.01441385345919213,7.399755370499999,3.9564048734999977,0.0011680125000037567
12000,50,3,4,4,19.67257387725,9.1386344175,2.1526820067972148,0.7175606689324049,8.970471407333333,9.512452195666667,6.447620215510597e-14,0.03757266407722193,8.258244249250001,4.0832849165,0.0012398692499991926
