experiment,size,max_iters,np,count,mpi_avg_sec,avg_rank_imbalance_pct,avg_max_rank_compute_sec,avg_max_rank_comm_sec,avg_max_rank_overhead_sec,seq_baseline_avg_sec,speedup_vs_seq,efficiency_vs_seq
baseline,2000,50,3,4,0.6489498122499999,1.332621580080116,0.24696277275,0.5109224675,0.000319291499999777,,,
baseline,3000,50,3,4,1.0179792669999999,0.30936512495694113,0.586073626,0.6997018580000001,0.0005326957500002005,,,
baseline,4000,50,3,4,1.4514121755,0.25005815843450085,0.9789280782499999,0.8870771257499999,0.0004318937500003006,,,
baseline,5000,50,3,4,1.9197927715,0.13991546271798724,1.4342564039999997,1.0576253402500002,0.0005468750000000161,,,
baseline,6000,50,3,4,2.5167367095,0.08581779059241437,1.9302285752500001,1.2579789752500001,0.0006518174999996518,,,
baseline,7000,50,3,4,3.58734070275,0.10219402692344874,2.9068171262500004,1.8538895765000003,0.0007589335000000585,,,
baseline,8000,50,3,4,4.5393329937499995,0.057138785275170495,3.8465821917500005,2.3334473059999996,0.0009941325000000223,,,
baseline,9000,50,3,4,5.855632421,0.02955343764683042,5.010378059500001,3.01524159175,0.0009681727500000237,,,
baseline,10000,50,3,4,7.60183059675,0.05747937094479425,6.6933996442499994,4.105701085,0.0012014272499988876,,,
baseline,11000,50,3,4,8.20865000175,0.01441385345919213,7.399755370499999,3.9564048734999977,0.0011680125000037567,,,
baseline,12000,50,3,4,9.1386344175,0.03757266407722193,8.258244249250001,4.0832849165,0.0012398692499991926,,,
,8000,50,1,3,10.105150519333334,0.0,10.104126105,0.0003841330000035799,0.0006402813333295324,8.881357887250001,0.8788941708743523,0.8788941708743523
,8000,50,2,3,6.821457071999999,0.038240003007417936,6.035628201666667,1.8421191093333344,0.001082053000000675,8.881357887250001,1.3019737269483476,0.6509868634741738
,8000,50,3,3,4.586325794666666,0.056640124857885506,3.9441382046666673,2.3932956723333323,0.0007741480000002706,8.881357887250001,1.9364864784743225,0.6454954928247741
,8000,50,4,3,4.149476119333333,0.15076957966538165,3.046009442,2.5230348566666665,0.000785770000000093,8.881357887250001,2.1403564285789662,0.5350891071447416
,8000,50,6,3,99.22554308433332,0.14318164107698877,1.9640710859999944,98.03421274866669,0.0009254663333329027,8.881357887250001,0.08950677024464958,0.01491779504077493
input_calibration,8000,50,3,1,4.616672225,0.1028285693381684,4.018170788000001,2.4048790990000004,0.0005170059999979326,,,
input_calibration,10000,50,3,1,8.241617796,0.06327056324465259,6.578032649000002,4.809778990999999,0.0008743119999969906,,,
input_calibration,12000,50,3,1,11.245753656,0.08048265395864625,9.626193513000004,6.214205907999999,0.000982260999998541,,,
workload_calibration,8000,200,3,1,16.505508893000002,0.02881204106355999,13.071237708999993,8.620071064000008,0.002120252000003653,,,
workload_calibration,8000,500,3,1,43.139915929000004,0.0035006465995182775,37.07173363700005,24.140481336999972,0.005937066999981866,,,
workload_calibration,8000,1000,3,1,72.99618517100001,0.002523308575235344,58.52096406500001,34.40020551900013,0.009106228999950616,,,
workload_calibration,8000,2000,3,1,139.208641306,0.0026603614296077,116.22351499100003,71.11716372100013,0.018520622999684377,,,
load_balance,8000,50,6,3,64.73331051766667,1.7059721631509068,2.0186870393333356,63.49432653600001,0.0019779030000060724,,,
