experiment,size,max_iters,np,rep,rank,local_rows,total_sec,compute_sec,comm_sec,overhead_sec
baseline,10000,50,3,1,0,3334,9.649296772,8.800679723999998,0.8470497420000063,0.0015673059999949945
baseline,10000,50,3,1,1,3333,9.651520751,5.3981804620000045,4.252222270999997,0.001118017999997889
baseline,10000,50,3,1,2,3333,9.651414281,3.6972861440000004,5.952994566000002,0.0011335709999968913
baseline,10000,50,3,2,0,3334,6.883613747,4.785474653000002,2.097530662999999,0.0006084309999989657
baseline,10000,50,3,2,1,3333,6.893134090999999,5.899260420000003,0.9930411600000022,0.0008325109999944846
baseline,10000,50,3,2,2,3333,6.882238871999999,3.4180937950000025,3.463617171,0.0005279059999967473
baseline,10000,50,3,3,0,3334,7.0551211689999995,5.554880837,1.4986014639999958,0.0016388680000039013
baseline,10000,50,3,3,1,3333,7.056251114999999,5.988595773999997,1.0667770079999999,0.00087833300000284
baseline,10000,50,3,3,2,3333,7.054367196,3.3912690499999987,3.6625160689999983,0.0005820770000033448
baseline,10000,50,3,4,0,3334,6.80568934,4.987313791000001,1.8176085249999967,0.00076702400000217
baseline,10000,50,3,4,1,3333,6.8064164300000005,6.085062659000001,0.720628082000001,0.000725688999998586
baseline,10000,50,3,4,2,3333,6.804911047,3.460726549000002,3.3436765339999983,0.0005079639999996388
baseline,11000,50,3,1,0,3667,8.241391331,7.334077480000002,0.9065154950000041,0.000798355999994671
baseline,11000,50,3,1,1,3667,8.241815389,6.661775556000003,1.579389611000003,0.0006502219999933168
baseline,11000,50,3,1,2,3666,8.241403874,4.581933787,3.6579659649999963,0.0015041220000036049
baseline,11000,50,3,2,0,3667,8.362717002999998,4.876768170000003,3.4852332590000015,0.0007155739999942234
baseline,11000,50,3,2,1,3667,8.362998788,7.625708790999999,0.7359885330000018,0.0013014639999995303
baseline,11000,50,3,2,2,3666,8.361657977,4.112313562999997,4.248785086999996,0.0005593270000066042
baseline,11000,50,3,3,0,3667,8.200864163,5.440598398999998,2.7596107559999963,0.0006550080000060632
baseline,11000,50,3,3,1,3667,8.200889776,7.404324421999998,0.7955509259999957,0.0010144280000062844
baseline,11000,50,3,3,2,3666,8.201793001,4.110730104999998,4.090426763999999,0.0006361320000030091
baseline,11000,50,3,4,0,3667,8.026821841,5.091014505000005,2.935182328999998,0.0006250069999973462
baseline,11000,50,3,4,1,3667,8.027992829,7.234910788999998,0.7922300039999969,0.0008520360000056071
baseline,11000,50,3,4,2,3666,8.025973569,4.196964165000001,3.828441677999998,0.0005677260000007678
baseline,12000,50,3,1,0,4000,8.012809326,5.987916015000001,2.0239489440000016,0.0009443669999971149
baseline,12000,50,3,1,1,4000,8.017181083,7.118966457999999,0.8970746410000001,0.0011399840000012595
baseline,12000,50,3,1,2,4000,8.010981982999999,5.311221817000001,2.6984071829999987,0.0013529829999994192
baseline,12000,50,3,2,0,4000,11.006272761,6.292854784000009,4.712328761999997,0.001089214999994148
baseline,12000,50,3,2,1,4000,11.011909005,10.019133415000004,0.9914564359999967,0.0013191539999988233
baseline,12000,50,3,2,2,4000,11.008380705999999,5.089654710000001,5.917139744999999,0.0015862509999982066
baseline,12000,50,3,3,0,4000,7.881804176,5.890233029,1.9908351070000023,0.0007360399999978284
baseline,12000,50,3,3,1,4000,7.882324134,7.054346231999997,0.8270479609999986,0.0009299410000047637
baseline,12000,50,3,3,2,4000,7.881588201,4.877984504,3.0029829319999997,0.0006207650000003007
baseline,12000,50,3,4,0,4000,9.641923042999998,7.238239905000002,2.402592836000002,0.0010903019999943808
baseline,12000,50,3,4,1,4000,9.6419755,8.840530892000002,0.8006011240000006,0.0008434839999964527
baseline,12000,50,3,4,2,4000,9.643123448,4.927942849000002,4.714609806000005,0.0005707929999942962
baseline,2000,50,3,1,0,667,0.6455458989999999,0.2109441020000001,0.43432227199999995,0.00027952499999983615
baseline,2000,50,3,1,1,667,0.638903915,0.23613454199999978,0.40262359800000025,0.00014577499999995913
baseline,2000,50,3,1,2,666,0.640120094,0.13406349299999992,0.5058705469999998,0.00018605400000026862
baseline,2000,50,3,2,0,667,0.608075837,0.21044593200000022,0.3974980139999998,0.0001318909999999951
baseline,2000,50,3,2,1,667,0.58652899,0.18989074499999983,0.39648948700000025,0.00014875799999997108
baseline,2000,50,3,2,2,666,0.588601511,0.127925174,0.46058995100000005,8.638599999993835e-05
baseline,2000,50,3,3,0,667,0.6639201149999999,0.20931415,0.45443434400000016,0.00017162099999978864
baseline,2000,50,3,3,1,667,0.661018759,0.2772170640000002,0.38336396700000014,0.0004377279999996375
baseline,2000,50,3,3,2,666,0.662253508,0.12952952599999984,0.5326290300000002,9.495200000009252e-05
baseline,2000,50,3,4,0,667,0.678257398,0.2491507230000004,0.4286955199999999,0.0004111549999996633
baseline,2000,50,3,4,1,667,0.676079235,0.2640535529999999,0.41186424499999963,0.0001614370000004861
baseline,2000,50,3,4,2,666,0.6771708080000001,0.13248194500000016,0.5446003420000003,8.8520999999675e-05
baseline,3000,50,3,1,0,1000,1.145217294,0.6568902179999996,0.4880938420000005,0.00023323399999997108
baseline,3000,50,3,1,1,1000,1.1478689069999999,0.5003523550000002,0.6473183650000005,0.00019818699999918366
