experiment,kind,size,np,max_iters,rep,runtime_sec,objective,row_error,col_error,column_syncs,column_payload_bytes,hostnames,local_rows_by_rank,rank_compute_sec,rank_comm_sec,rank_total_sec,max_rank_compute_sec,max_rank_comm_sec,max_rank_overhead_sec,max_rank_total_sec,min_rank_total_sec,rank_imbalance_pct,json
baseline,seq,2000,1,50,1,0.9680796580000001,0.10013719867162223,2.0041412633186456e-09,2.004141259957619e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,0.9680796580000001,0.9680796580000001,0.0,mpi-sinkhorn-step/results/bench_cpp_router3_report_suite_safe/baseline_seq_n2000_iters50_rep1.json
baseline,seq,2000,1,50,2,0.5159316260000001,0.10013719867162223,2.0041412633186456e-09,2.004141259957619e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,0.5159316260000001,0.5159316260000001,0.0,mpi-sinkhorn-step/results/bench_cpp_router3_report_suite_safe/baseline_seq_n2000_iters50_rep2.json
baseline,seq,2000,1,50,3,0.510090112,0.10013719867162223,2.0041412633186456e-09,2.004141259957619e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,0.510090112,0.510090112,0.0,mpi-sinkhorn-step/results/bench_cpp_router3_report_suite_safe/baseline_seq_n2000_iters50_rep3.json
baseline,seq,2000,1,50,4,0.553761745,0.10013719867162223,2.0041412633186456e-09,2.004141259957619e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,0.553761745,0.553761745,0.0,mpi-sinkhorn-step/results/bench_cpp_router3_report_suite_safe/baseline_seq_n2000_iters50_rep4.json
baseline,mpi,2000,3,50,1,0.6455458989999999,0.100137198671619,2.0041412377314743e-09,2.0041412088916966e-09,50,800000,vmubuntu;VMubuntu;VMubuntu,"[667, 667, 666]","[0.2109441020000001, 0.23613454199999978, 0.13406349299999992]","[0.43432227199999995, 0.40262359800000025, 0.5058705469999998]","[0.6455458989999999, 0.638903915, 0.640120094]",0.23613454199999978,0.5058705469999998,0.00027952499999983615,0.6455458989999999,0.638903915,1.0288941514908354,mpi-sinkhorn-step/results/bench_cpp_router3_report_suite_safe/baseline_mpi_n2000_np3_iters50_rep1.json
baseline,mpi,2000,3,50,2,0.608075837,0.100137198671619,2.0041412377314743e-09,2.0041412088916966e-09,50,800000,vmubuntu;VMubuntu;VMubuntu,"[667, 667, 666]","[0.21044593200000022, 0.18989074499999983, 0.127925174]","[0.3974980139999998, 0.39648948700000025, 0.46058995100000005]","[0.608075837, 0.58652899, 0.588601511]",0.21044593200000022,0.46058995100000005,0.00014875799999997108,0.608075837,0.58652899,3.543447328264744,mpi-sinkhorn-step/results/bench_cpp_router3_report_suite_safe/baseline_mpi_n2000_np3_iters50_rep2.json
baseline,mpi,2000,3,50,3,0.6639201149999999,0.100137198671619,2.0041412377314743e-09,2.0041412088916966e-09,50,800000,vmubuntu;VMubuntu;VMubuntu,"[667, 667, 666]","[0.20931415, 0.2772170640000002, 0.12952952599999984]","[0.45443434400000016, 0.38336396700000014, 0.5326290300000002]","[0.6639201149999999, 0.661018759, 0.662253508]",0.2772170640000002,0.5326290300000002,0.0004377279999996375,0.6639201149999999,0.661018759,0.43700378019123076,mpi-sinkhorn-step/results/bench_cpp_router3_report_suite_safe/baseline_mpi_n2000_np3_iters50_rep3.json
baseline,mpi,2000,3,50,4,0.678257398,0.100137198671619,2.0041412377314743e-09,2.0041412088916966e-09,50,800000,vmubuntu;VMubuntu;VMubuntu,"[667, 667, 666]","[0.2491507230000004, 0.2640535529999999, 0.13248194500000016]","[0.4286955199999999, 0.41186424499999963, 0.5446003420000003]","[0.678257398, 0.676079235, 0.6771708080000001]",0.2640535529999999,0.5446003420000003,0.0004111549999996633,0.678257398,0.676079235,0.3211410603736541,mpi-sinkhorn-step/results/bench_cpp_router3_report_suite_safe/baseline_mpi_n2000_np3_iters50_rep4.json
baseline,seq,3000,1,50,1,1.921597472,0.10008101795440717,3.0041238938734866e-09,3.0041239282969055e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,1.921597472,1.921597472,0.0,mpi-sinkhorn-step/results/bench_cpp_router3_report_suite_safe/baseline_seq_n3000_iters50_rep1.json
baseline,seq,3000,1,50,2,1.122294417,0.10008101795440717,3.0041238938734866e-09,3.0041239282969055e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,1.122294417,1.122294417,0.0,mpi-sinkhorn-step/results/bench_cpp_router3_report_suite_safe/baseline_seq_n3000_iters50_rep2.json
