experiment,kind,size,np,max_iters,rep,runtime_sec,objective,row_error,col_error,column_syncs,column_payload_bytes,hostnames,local_rows_by_rank,rank_compute_sec,rank_comm_sec,rank_total_sec,max_rank_compute_sec,max_rank_comm_sec,max_rank_total_sec,min_rank_total_sec,rank_imbalance_pct,json
process_extra,mpi,8000,12,50,1,184.44717728,0.09999732950016807,8.003961402187378e-09,8.003961415387539e-09,50,3200000,vmubuntu;VMubuntu;VMubuntu;vmubuntu;VMubuntu;VMubuntu;vmubuntu;VMubuntu;VMubuntu;vmubuntu;VMubuntu;VMubuntu,"[667, 667, 667, 667, 667, 667, 667, 667, 666, 666, 666, 666]","[2.1525941840000455, 0.8029059170001056, 0.6354466920000001, 2.1270697839999, 0.8032320790001347, 0.6047801980001363, 1.9599335769999198, 0.7777699680000054, 0.6337107940000288, 2.4661677610000656, 0.7596525199999057, 0.6326321199999828]","[182.26847521699992, 183.63746563700002, 183.79026349599988, 182.30994746199997, 183.62558808499998, 183.831282603, 182.4783253370001, 183.66893308900006, 183.75889722200012, 181.96559682600002, 183.6366415789999, 183.76190596399988]","[184.421733601, 184.44080604599998, 184.426424093, 184.43834623, 184.42922144, 184.436634111, 184.439144245, 184.44717728, 184.393209222, 184.432543692, 184.39672209900002, 184.39515749999998]",2.4661677610000656,183.831282603,184.44717728,184.393209222,0.029259356958379078,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_supplemental_after_ram/process_extra_mpi_n8000_np12_iters50_rep1.json
process_extra,mpi,8000,12,50,2,9.464394934000001,0.09999732950016807,8.003961402187378e-09,8.003961415387539e-09,50,3200000,vmubuntu;VMubuntu;VMubuntu;vmubuntu;VMubuntu;VMubuntu;vmubuntu;VMubuntu;VMubuntu;vmubuntu;VMubuntu;VMubuntu,"[667, 667, 667, 667, 667, 667, 667, 667, 666, 666, 666, 666]","[2.1861255360000005, 0.7828158299999988, 0.6249889560000037, 2.0087248049999973, 0.7696541979999999, 0.5965235270000027, 2.1528766489999986, 0.8015258419999989, 0.6235794320000021, 2.4025555359999977, 0.7664674450000037, 0.8093670409999999]","[7.262920237, 8.681131669000003, 8.812880311000004, 7.444673706, 8.672795072000003, 8.857507133999999, 7.292189136, 8.652398685000001, 8.819084428, 7.030649932999997, 8.660855251000001, 8.617431104999998]","[9.449627337, 9.464394934000001, 9.438636599, 9.45443309, 9.442997268000001, 9.454663844, 9.445674682, 9.454339673, 9.443270484, 9.433859311, 9.427762135, 9.42839564]",2.4025555359999977,8.857507133999999,9.464394934000001,9.427762135,0.3870590698661695,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_supplemental_after_ram/process_extra_mpi_n8000_np12_iters50_rep2.json
process_extra,mpi,8000,8,50,1,4.220912097,0.09999732950016638,8.003961399449767e-09,8.003961410589944e-09,50,3200000,vmubuntu;VMubuntu;VMubuntu;vmubuntu;VMubuntu;VMubuntu;vmubuntu;VMubuntu,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[1.734413387999998, 1.0630262940000001, 0.7767083710000011, 1.6928140910000002, 1.162026704999999, 0.8027055509999991, 1.7232568400000012, 1.0981271529999974]","[2.4734213449999976, 3.145336204, 3.4434547559999995, 2.5259822620000008, 3.030893081999999, 3.3970583929999987, 2.4876759510000004, 3.1136929010000003]","[4.209611153, 4.2099658390000005, 4.2206617589999995, 4.220912097, 4.1945793039999995, 4.200213904, 4.2134021619999995, 4.213347647000001]",1.734413387999998,3.4434547559999995,4.220912097,4.1945793039999995,0.6238649939835692,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_supplemental_after_ram/process_extra_mpi_n8000_np8_iters50_rep1.json
process_extra,mpi,8000,8,50,2,4.289131955,0.09999732950016638,8.003961399449767e-09,8.003961410589944e-09,50,3200000,vmubuntu;VMubuntu;VMubuntu;vmubuntu;VMubuntu;VMubuntu;vmubuntu;VMubuntu,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[1.919089779000001, 1.096579253000002, 0.7924611250000015, 1.9221625580000015, 1.1119367870000019, 0.784048901, 1.8669745140000011, 1.068902794]","[2.3684387220000005, 3.177303279999999, 3.4860218160000005, 2.349907128000001, 3.1654253189999997, 3.488682605000002, 2.4105563320000005, 3.202942539999999]","[4.289131955, 4.274312034, 4.278971512, 4.272632824, 4.277805668999999, 4.273248544, 4.278140762, 4.272276939]",1.9221625580000015,3.488682605000002,4.289131955,4.272276939,0.3929703300536496,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_supplemental_after_ram/process_extra_mpi_n8000_np8_iters50_rep2.json
process_extra,mpi,8000,8,50,3,560.2804278899999,0.09999732950016638,8.003961399449767e-09,8.003961410589944e-09,50,3200000,vmubuntu;VMubuntu;VMubuntu;vmubuntu;VMubuntu;VMubuntu;vmubuntu;VMubuntu,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[1.8079467680000008, 1.0814570100000018, 0.7735170940000016, 1.7527023790000005, 1.0491536359999998, 0.801743706, 1.7718829680000006, 1.1045480370000003]","[2.5879064819999975, 3.3154539580000018, 3.623404989999999, 2.6390666830000007, 3.3401388649999992, 3.5898515130000015, 558.506381376, 559.06143489]","[4.398971630999999, 4.397347812, 4.397489343999999, 4.3943775700000005, 4.3897433150000005, 4.392068713, 560.2804278899999, 560.166440825]",1.8079467680000008,559.06143489,560.2804278899999,4.3897433150000005,99.21650960903067,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_supplemental_after_ram/process_extra_mpi_n8000_np8_iters50_rep3.json
size_probe,mpi,14000,3,50,1,14.402141008,0.09999769266190045,1.4003932208335869e-08,1.4003932196097937e-08,50,5600000,vmubuntu;VMubuntu;VMubuntu,"[4667, 4667, 4666]","[13.389906839, 8.520540918000002, 6.014880237000002]","[1.008521174999998, 5.880448406000006, 8.384956182000002]","[14.400432897, 14.402141008, 14.401711480000001]",13.389906839,8.384956182000002,14.402141008,14.400432897,0.01186011856883241,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_supplemental_after_ram/size_probe_mpi_n14000_np3_iters50_rep1.json
size_probe,mpi,16000,3,50,1,16.596883979999998,0.09998836817799232,1.6003912921494913e-08,1.6003912905353853e-08,50,6400000,vmubuntu;VMubuntu;VMubuntu,"[5334, 5333, 5333]","[15.561575398999988, 10.636396834999992, 9.606979264999998]","[1.0307776489999942, 5.959461763999986, 6.987008544999996]","[16.593432018999998, 16.596883979999998, 16.596408659999998]",15.561575398999988,6.987008544999996,16.596883979999998,16.593432018999998,0.020798849977859947,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_supplemental_after_ram/size_probe_mpi_n16000_np3_iters50_rep1.json
size_probe,mpi,18000,3,50,1,20.688603217,0.09998771126119721,1.8003931725054745e-08,1.800393166421745e-08,50,7200000,vmubuntu;VMubuntu;VMubuntu,"[6000, 6000, 6000]","[19.456748237000006, 14.113334255000002, 12.174432533999994]","[1.2245110899999934, 6.57415556900001, 8.510650145999993]","[20.683507636999998, 20.688603217, 20.688008591]",19.456748237000006,8.510650145999993,20.688603217,20.683507636999998,0.024629888961355595,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_supplemental_after_ram/size_probe_mpi_n18000_np3_iters50_rep1.json
speedup2n,mpi,16000,1,50,1,30.232799341,0.0999883681780283,1.6003912910205658e-08,1.600391287552474e-08,50,6400000,vmubuntu,[16000],[30.23139983000001],[0.000574090999993615],[30.232799341],30.23139983000001,0.000574090999993615,30.232799341,30.232799341,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_supplemental_after_ram/speedup2n_mpi_n16000_np1_iters50_rep1.json
speedup2n,mpi,16000,2,50,1,24.467699417,0.09998836817800602,1.6003912922863718e-08,1.600391290089507e-08,50,6400000,vmubuntu;VMubuntu,"[8000, 8000]","[16.765532639999996, 21.395871465]","[7.679194895999989, 3.068119262000014]","[24.445664658000002, 24.467699417]",21.395871465,7.679194895999989,24.467699417,24.445664658000002,0.0900565215570988,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router3_supplemental_after_ram/speedup2n_mpi_n16000_np2_iters50_rep1.json
