size,seq_avg4_sec,router2_np2_mpi_avg4_sec,router2_speedup_avg4,router2_efficiency_avg4,router3_np3_mpi_avg4_sec,router3_speedup_avg4,router3_efficiency_avg4,router3_runtime_vs_router2,vm4_np4_mpi_avg4_sec,vm4_speedup_avg4,vm4_efficiency_avg4,vm4_runtime_vs_router2,router2_max_obj_diff,router3_max_obj_diff,vm4_max_obj_diff
2000,0.5683175655,0.45184911725,1.2577596011669536,0.6288798005834768,0.55732958675,1.14288887652,0.380962958839,0.8107395121168848,1.0840317855,0.587589583414,0.146897395854,0.41682275676223707,5.842548667089886e-15,3.23352455922e-15,3.46944695195e-15
3000,1.30046392425,0.8946085635,1.4536680927378582,0.7268340463689291,0.7597729055,1.75565894012,0.585219646706,1.1774683685400256,1.17079516425,1.13931295134,0.284828237836,0.7641033981149704,1.7069679003611782e-15,1.87350135405e-15,1.63757896132e-15
4000,2.20388201475,1.50746694175,1.4619770117091526,0.7309885058545763,1.1326590715,2.18171569952,0.727238566508,1.3309096970844327,1.528338229,1.61688036824,0.40422009206,0.9863438034500672,7.216449660063518e-15,5.38458166943e-15,4.46864767412e-15
5000,3.60292213525,2.093262224,1.7211996155766867,0.8605998077883433,1.700114438,2.08952297172,0.696507657239,1.2312478367412112,1.845596784,1.92481272375,0.481203180937,1.1341926048783146,5.412337245047638e-16,7.86870568703e-15,2.81719092499e-15
6000,4.9791956289999995,3.0079930385,1.6553215267688857,0.8276607633844428,2.21399787875,2.43930709355,0.813102364518,1.3586250770024593,2.473191004,2.18366503922,0.545916259805,1.2162396813004097,1.504352198367087e-14,9.27036225562e-15,7.93809462607e-15
7000,6.820128444,3.6342530565,1.8766245327363598,0.9383122663681799,2.6940511605,2.51096073561,0.836986911871,1.348991849072942,2.934456374,2.30525038426,0.576312596064,1.2384757492734837,7.702172233337023e-15,2.25514051877e-14,2.05252481678e-14
8000,8.9874806265,4.70805297025,1.9089591139461544,0.9544795569730772,3.677253041,2.41521532193,0.805071773978,1.2803179214911145,3.4505852735,2.57386999112,0.643467497779,1.3644215682502243,2.7672308888782027e-14,2.96290769697e-14,3.74283937177e-14
9000,11.51824739675,5.78626276325,1.9906194841176703,0.9953097420588352,4.262493756,2.63345497098,0.877818323659,1.3574829887093918,4.1968732625,2.67463053288,0.668657633219,1.3787080050645204,6.938893903907228e-16,1.29202204491e-14,3.08780778724e-14
10000,13.49958398625,7.02881051525,1.9206071862316876,0.9603035931158438,4.99454195725,2.68520633875,0.895068779583,1.40729832193062,4.65961397475,2.87821604867,0.719554012168,1.5084533940662141,3.469446951953614e-16,3.899658374e-15,2.53963516883e-15
11000,17.21750801825,9.07942931325,1.8963205091672177,0.9481602545836089,5.9415071045,2.62201845411,0.874006151371,1.5281357328300404,5.78384015275,2.69349443654,0.673373609134,1.569792572661793,4.9682480351975755e-15,1.55014889813e-14,5.49560397189e-15
12000,19.60252938375,10.735582199749999,1.8259400393028042,0.9129700196514021,6.81687609075,2.8858634975,0.961954499165,1.5748536509732654,6.14276501525,3.20256005698,0.800640014245,1.747679127086563,3.967659534254153e-14,6.44762021551e-14,6.51145803943e-14
