size,rep,kind,runtime_sec,wall_sec,iterations,row_error,col_error,objective,payload_bytes,seed,output
2000,1,sequential,0.702382733,0.773461103439331,50,2.000314412047878e-09,2.000314433948762e-09,0.34378076714835865,0,3001,results/bench_cpp_vm2_phonehotspot_2k_5k_baseline_fixed50/seq_n2000_rep1.json
2000,1,mpi_double_baseline,0.745958252,2.279646158218384,50,2.000314425491985e-09,2.0003143997963935e-09,0.3437807671483516,800000,3001,results/bench_cpp_vm2_phonehotspot_2k_5k_baseline_fixed50/mpi_double_n2000_rep1.json
2000,2,sequential,0.8377228,0.9705016613006592,50,2.0003050837892264e-09,2.00030508064504e-09,0.34359727284584846,0,3002,results/bench_cpp_vm2_phonehotspot_2k_5k_baseline_fixed50/seq_n2000_rep2.json
2000,2,mpi_double_baseline,0.650577248,1.7566158771514893,50,2.000305102545924e-09,2.0003050769587527e-09,0.3435972728458673,800000,3002,results/bench_cpp_vm2_phonehotspot_2k_5k_baseline_fixed50/mpi_double_n2000_rep2.json
2000,3,sequential,0.598602578,0.6288154125213623,50,2.000336404546846e-09,2.0003363715870998e-09,0.34356326119853625,0,3003,results/bench_cpp_vm2_phonehotspot_2k_5k_baseline_fixed50/seq_n2000_rep3.json
2000,3,mpi_double_baseline,0.6479069869999999,1.7417144775390625,50,2.000336403679484e-09,2.000336394246925e-09,0.34356326119856495,800000,3003,results/bench_cpp_vm2_phonehotspot_2k_5k_baseline_fixed50/mpi_double_n2000_rep3.json
3000,1,sequential,1.407705172,1.4683668613433838,50,3.0003186483125617e-09,3.00031860261344e-09,0.3434275588139541,0,4001,results/bench_cpp_vm2_phonehotspot_2k_5k_baseline_fixed50/seq_n3000_rep1.json
3000,1,mpi_double_baseline,1.467729097,2.789698362350464,50,3.000318660021945e-09,3.000318639476314e-09,0.34342755881392417,1200000,4001,results/bench_cpp_vm2_phonehotspot_2k_5k_baseline_fixed50/mpi_double_n3000_rep1.json
3000,2,sequential,1.471739189,1.5369117259979248,50,3.000307706652657e-09,3.000307676511837e-09,0.34345673009185357,0,4002,results/bench_cpp_vm2_phonehotspot_2k_5k_baseline_fixed50/seq_n3000_rep2.json
3000,2,mpi_double_baseline,1.2042221679999998,2.3914906978607178,50,3.000307665615605e-09,3.000307636775827e-09,0.3434567300918185,1200000,4002,results/bench_cpp_vm2_phonehotspot_2k_5k_baseline_fixed50/mpi_double_n3000_rep2.json
