size,rep,seq_runtime_s,mpi_runtime_s,speedup,efficiency,seq_iterations,mpi_iterations,seq_row_error,seq_col_error,mpi_row_error,mpi_col_error,objective_diff
2000,1,0.473553064,0.190661734,2.483734171850131,1.2418670859250656,10,10,2.000325748140533e-09,2.0003257613677994e-09,2.0003257667888102e-09,2.000325754212065e-09,8.104628079763643e-15
2000,2,0.138268474,0.198014982,0.6982727902881611,0.34913639514408057,10,10,2.000325748140533e-09,2.0003257613677994e-09,2.0003257667888102e-09,2.000325754212065e-09,8.104628079763643e-15
2000,3,0.160117479,0.383028096,0.4180306371050128,0.2090153185525064,10,10,2.000325748140533e-09,2.0003257613677994e-09,2.0003257667888102e-09,2.000325754212065e-09,8.104628079763643e-15
3000,1,1.0242078890000001,0.5024445479999999,2.038449602203665,1.0192248011018326,10,10,3.0003175763076637e-09,3.0003175930585872e-09,3.0003176121405455e-09,3.0003176485697385e-09,3.175237850427948e-14
3000,2,0.311900034,0.376362262,0.8287229233413418,0.4143614616706709,10,10,3.0003175763076637e-09,3.0003175930585872e-09,3.0003176121405455e-09,3.0003176485697385e-09,3.175237850427948e-14
3000,3,0.300055833,0.42091909099999997,0.7128586928360539,0.3564293464180269,10,10,3.0003175763076637e-09,3.0003175930585872e-09,3.0003176121405455e-09,3.0003176485697385e-09,3.175237850427948e-14
4000,1,0.551689914,0.601089561,0.9178164949033277,0.45890824745166386,10,10,4.000305316815764e-09,4.0003053012032525e-09,4.000305332970376e-09,4.000305324622019e-09,4.063416270128073e-14
4000,2,0.636324616,1.154800393,0.55102563166516,0.27551281583258,10,10,4.000305316815764e-09,4.0003053012032525e-09,4.000305332970376e-09,4.000305324622019e-09,4.063416270128073e-14
4000,3,0.9400307720000001,0.46528376600000004,2.020338642118023,1.0101693210590115,10,10,4.000305316815764e-09,4.0003053012032525e-09,4.000305332970376e-09,4.000305324622019e-09,4.063416270128073e-14
5000,1,0.9868744309999999,0.642648102,1.5356373541425319,0.7678186770712659,10,10,5.000307906638133e-09,5.000307910541261e-09,5.000307901081597e-09,5.0003079002142355e-09,2.3647750424515834e-14
5000,2,0.783434343,0.6384713,1.2270470779187728,0.6135235389593864,10,10,5.000307906638133e-09,5.000307910541261e-09,5.000307901081597e-09,5.0003079002142355e-09,2.3647750424515834e-14
5000,3,0.8895687170000001,0.724227396,1.2283002851220504,0.6141501425610252,10,10,5.000307906638133e-09,5.000307910541261e-09,5.000307901081597e-09,5.0003079002142355e-09,2.3647750424515834e-14
6000,1,1.164005049,1.207899694,0.9636603558904454,0.4818301779452227,10,10,6.000311696699413e-09,6.0003117898052745e-09,6.000311694639429e-09,6.0003117089780025e-09,1.2323475573339238e-13
6000,2,1.197821712,0.891518924,1.3435740731399215,0.6717870365699607,10,10,6.000311696699413e-09,6.0003117898052745e-09,6.000311694639429e-09,6.0003117089780025e-09,1.2323475573339238e-13
6000,3,1.198865124,0.8490939239999999,1.411934640107023,0.7059673200535115,10,10,6.000311696699413e-09,6.0003117898052745e-09,6.000311694639429e-09,6.0003117089780025e-09,1.2323475573339238e-13
7000,1,1.602253753,1.1799622090000002,1.3578856515734394,0.6789428257867197,10,10,7.0003118272531e-09,7.000311815841872e-09,7.000311798142271e-09,7.00031174021877e-09,4.496403249731884e-15
7000,2,1.66873801,1.21209187,1.3767421853922672,0.6883710926961336,10,10,7.0003118272531e-09,7.000311815841872e-09,7.000311798142271e-09,7.00031174021877e-09,4.496403249731884e-15
7000,3,1.664829689,1.1385369379999999,1.4622535584348342,0.7311267792174171,10,10,7.0003118272531e-09,7.000311815841872e-09,7.000311798142271e-09,7.00031174021877e-09,4.496403249731884e-15
