size,rep,seq_runtime_s,mpi_runtime_s,speedup,efficiency,seq_iterations,mpi_iterations,seq_row_error,seq_col_error,mpi_row_error,mpi_col_error,objective_diff
8000,1,2.1816171289999997,1.442138577,1.5127652527944266,0.7563826263972133,10,10,8.000318893204138e-09,8.000318855067327e-09,8.000318872468772e-09,8.000318843222418e-09,1.0524914273446484e-13
8000,2,2.043969232,1.437502049,1.4218896129030838,0.7109448064515419,10,10,8.000318893204138e-09,8.000318855067327e-09,8.000318872468772e-09,8.000318843222418e-09,1.0524914273446484e-13
8000,3,2.1481025660000004,1.517698012,1.4153689001471792,0.7076844500735896,10,10,8.000318893204138e-09,8.000318855067327e-09,8.000318872468772e-09,8.000318843222418e-09,1.0524914273446484e-13
9000,1,2.6969729289999997,1.86047832,1.4496126614364417,0.7248063307182209,10,10,9.000316953988773e-09,9.000316979413314e-09,9.000316925935042e-09,9.000316975943867e-09,1.0880185641326534e-13
9000,2,2.7356669399999998,1.797075119,1.5222885849770644,0.7611442924885322,10,10,9.000316953988773e-09,9.000316979413314e-09,9.000316925935042e-09,9.000316975943867e-09,1.0880185641326534e-13
9000,3,2.738071098,2.131347544,1.2846666446812016,0.6423333223406008,10,10,9.000316953988773e-09,9.000316979413314e-09,9.000316925935042e-09,9.000316975943867e-09,1.0880185641326534e-13
10000,1,3.449514618,2.14046265,1.6115743098810904,0.8057871549405452,10,10,1.0000315694920535e-08,1.0000315728869616e-08,1.0000315708161354e-08,1.0000315716319976e-08,8.315570454442422e-14
10000,2,3.283065401,2.20881156,1.4863492479186409,0.7431746239593204,10,10,1.0000315694920535e-08,1.0000315728869616e-08,1.0000315708161354e-08,1.0000315716319976e-08,8.315570454442422e-14
10000,3,3.431303111,2.1512823,1.5950036455001744,0.7975018227500872,10,10,1.0000315694920535e-08,1.0000315728869616e-08,1.0000315708161354e-08,1.0000315716319976e-08,8.315570454442422e-14
11000,1,4.136012182,2.824836788,1.464159699268261,0.7320798496341305,10,10,1.1000313417163041e-08,1.100031340525037e-08,1.1000313413341229e-08,1.1000313442601135e-08,2.102207297127734e-13
11000,2,3.9040626880000002,2.598740903,1.5022900834373794,0.7511450417186897,10,10,1.1000313417163041e-08,1.100031340525037e-08,1.1000313413341229e-08,1.1000313442601135e-08,2.102207297127734e-13
11000,3,3.937375391,2.994027217,1.3150766862250602,0.6575383431125301,10,10,1.1000313417163041e-08,1.100031340525037e-08,1.1000313413341229e-08,1.1000313442601135e-08,2.102207297127734e-13
12000,1,7.335315073,3.156193793,2.3241016091181446,1.1620508045590723,10,10,1.2000309922320846e-08,1.2000309906152681e-08,1.2000309955971771e-08,1.2000309935439693e-08,8.809619700400617e-14
12000,2,5.136769291999999,2.998460894,1.713135329621544,0.856567664810772,10,10,1.2000309922320846e-08,1.2000309906152681e-08,1.2000309955971771e-08,1.2000309935439693e-08,8.809619700400617e-14
12000,3,4.605691752,3.6230666950000003,1.271213626388956,0.635606813194478,10,10,1.2000309922320846e-08,1.2000309906152681e-08,1.2000309955971771e-08,1.2000309935439693e-08,8.809619700400617e-14
