size,rep,seq_runtime_s,mpi_runtime_s,seq_wall_s,mpi_wall_s,speedup,efficiency,seq_iterations,mpi_iterations,seq_row_error,seq_col_error,mpi_row_error,mpi_col_error,objective_diff
2000,1,0.602475286,0.8194002060000001,0.6426357840000492,2.3708403020000333,0.7352637717057151,0.36763188585285755,50,50,2.000325630396177e-09,2.0003256352750867e-09,2.0003256168436498e-09,2.000325608386873e-09,8.326672684688674e-15
2000,2,0.435677923,0.837128799,0.4705158040005699,1.967821264000122,0.5204431188133094,0.2602215594066547,50,50,2.000325630396177e-09,2.0003256352750867e-09,2.0003256168436498e-09,2.000325608386873e-09,8.326672684688674e-15
2000,3,0.436196293,0.815651734,0.47626702199977444,2.0684784120003314,0.5347825239834529,0.26739126199172647,50,50,2.000325630396177e-09,2.0003256352750867e-09,2.0003256168436498e-09,2.000325608386873e-09,8.326672684688674e-15
3000,1,0.88156387,1.560473763,0.9479021249999278,2.7236647789995914,0.5649334778338083,0.28246673891690416,50,50,3.0003172668763636e-09,3.000317286500423e-09,3.0003172617264033e-09,3.0003173066123733e-09,3.186340080674199e-14
3000,2,0.9821361350000001,1.633664807,1.0457002980001562,2.9249734229997557,0.601185831262141,0.3005929156310705,50,50,3.0003172668763636e-09,3.000317286500423e-09,3.0003172617264033e-09,3.0003173066123733e-09,3.186340080674199e-14
3000,3,0.890732635,1.39759948,0.9574463400003879,2.5935684539999784,0.6373303995505207,0.31866519977526037,50,50,3.0003172668763636e-09,3.000317286500423e-09,3.0003172617264033e-09,3.0003173066123733e-09,3.186340080674199e-14
4000,1,1.5342492540000001,1.998998799,1.6292934940001942,3.3764170260001265,0.767508842310215,0.3837544211551075,50,50,4.00030466109029e-09,4.0003046404362384e-09,4.0003046734501946e-09,4.000304665589729e-09,4.035660694512444e-14
4000,2,1.786700041,2.01370215,1.90688201499961,3.202152563000709,0.8872712585622458,0.4436356292811229,50,50,4.00030466109029e-09,4.0003046404362384e-09,4.0003046734501946e-09,4.000304665589729e-09,4.035660694512444e-14
4000,3,1.696491679,2.018660927,1.8142901700002767,3.2879289580005207,0.8404044762094908,0.4202022381047454,50,50,4.00030466109029e-09,4.0003046404362384e-09,4.0003046734501946e-09,4.000304665589729e-09,4.035660694512444e-14
5000,1,2.518289738,2.513951419,2.691450041999815,3.8111738350007727,1.001725697229951,0.5008628486149755,50,50,5.000306906244789e-09,5.000306917845752e-09,5.000306884994426e-09,5.000306897815117e-09,2.3592239273284576e-14
5000,2,2.581396302,2.646291061,2.799620947999756,4.168155839000065,0.9754770894417498,0.4877385447208749,50,50,5.000306906244789e-09,5.000306917845752e-09,5.000306884994426e-09,5.000306897815117e-09,2.3592239273284576e-14
5000,3,2.581291985,2.6441614199999997,2.751861296000243,3.832324343000437,0.9762232991811824,0.4881116495905912,50,50,5.000306906244789e-09,5.000306917845752e-09,5.000306884994426e-09,5.000306897815117e-09,2.3592239273284576e-14
6000,1,4.026902838,3.391574577,4.311990859000616,4.791333967000355,1.1873254580065806,0.5936627290032903,50,50,6.000310232104908e-09,6.0003103345078034e-09,6.000310250753186e-09,6.00031026563386e-09,1.2329026688462363e-13
6000,2,4.050955589,3.686198959,4.299664858000142,5.571908855000402,1.0989519648985393,0.5494759824492697,50,50,6.000310232104908e-09,6.0003103345078034e-09,6.000310250753186e-09,6.00031026563386e-09,1.2329026688462363e-13
6000,3,3.70182753,3.291067254,3.9399652749998495,4.432439054000497,1.1248106599768684,0.5624053299884342,50,50,6.000310232104908e-09,6.0003103345078034e-09,6.000310250753186e-09,6.00031026563386e-09,1.2329026688462363e-13
7000,1,4.835099301,4.374136606,5.15455057500003,5.672426371000256,1.1053836988921875,0.5526918494460937,50,50,7.000309888889351e-09,7.000309877261282e-09,7.000309854709877e-09,7.000309799280041e-09,4.551914400963142e-15
7000,2,4.983264837,4.125653836000001,5.294455623999966,5.85034195299977,1.207872748197287,0.6039363740986435,50,50,7.000309888889351e-09,7.000309877261282e-09,7.000309854709877e-09,7.000309799280041e-09,4.551914400963142e-15
7000,3,4.954200248,4.395975504,5.268943150999803,5.907734559999881,1.1269854082426207,0.5634927041213104,50,50,7.000309888889351e-09,7.000309877261282e-09,7.000309854709877e-09,7.000309799280041e-09,4.551914400963142e-15
8000,1,6.657350697,5.344403518,7.06562902099995,7.963239425000211,1.2456676735912589,0.6228338367956294,50,50,8.000316390296318e-09,8.000316339420131e-09,8.000316356550526e-09,8.000316318061348e-09,1.0513812043200232e-13
8000,2,6.730991324,5.165219361,7.202842237999903,6.943565280999792,1.303137554006392,0.651568777003196,50,50,8.000316390296318e-09,8.000316339420131e-09,8.000316356550526e-09,8.000316318061348e-09,1.0513812043200232e-13
8000,3,6.608639495,5.242868625,7.050854419999268,6.589490956999725,1.2605006853476135,0.6302503426738068,50,50,8.000316390296318e-09,8.000316339420131e-09,8.000316356550526e-09,8.000316318061348e-09,1.0513812043200232e-13
9000,1,8.052203739,7.597987653000001,8.509822332999647,9.223913807000827,1.059781103463712,0.529890551731856,50,50,9.00031369776373e-09,9.000313724109844e-09,9.000313690093e-09,9.000313735466861e-09,1.0902390101819037e-13
9000,2,8.296451235000001,6.188693044,8.904308649000086,7.935026602000107,1.3405821190377982,0.6702910595188991,50,50,9.00031369776373e-09,9.000313724109844e-09,9.000313690093e-09,9.000313735466861e-09,1.0902390101819037e-13
9000,3,8.373202528,6.418502826999999,8.903807792000407,8.24767558700023,1.304541378836414,0.652270689418207,50,50,9.00031369776373e-09,9.000313724109844e-09,9.000313690093e-09,9.000313735466861e-09,1.0902390101819037e-13
10000,1,10.263201398,7.371094066,10.9050837220002,9.07077173200014,1.392357946609333,0.6961789733046665,50,50,1.0000311735590384e-08,1.0000311768970259e-08,1.0000311728150047e-08,1.000031173728445e-08,8.348877145181177e-14
10000,2,10.278565557,11.470285255,10.95199732600031,13.744528919000004,0.8961037435855819,0.44805187179279093,50,50,1.0000311735590384e-08,1.0000311768970259e-08,1.0000311728150047e-08,1.000031173728445e-08,8.348877145181177e-14
10000,3,10.692681085999999,7.952130097,11.349297634999857,9.865507589000117,1.344631055524845,0.6723155277624225,50,50,1.0000311735590384e-08,1.0000311768970259e-08,1.0000311728150047e-08,1.000031173728445e-08,8.348877145181177e-14
11000,1,14.359355343,12.060418771,15.617110726999272,13.971011457999339,1.190618304028375,0.5953091520141875,50,50,1.1000308566347654e-08,1.1000308554218142e-08,1.1000308553947092e-08,1.1000308586717102e-08,2.1066481892262345e-13
11000,2,16.016742589000003,8.737797474999999,18.417958338000062,10.310119415000372,1.8330411794077437,0.9165205897038718,50,50,1.1000308566347654e-08,1.1000308554218142e-08,1.1000308553947092e-08,1.1000308586717102e-08,2.1066481892262345e-13
11000,3,12.331905293,9.358567676,13.282068791000711,11.347399611000583,1.3177128936755045,0.6588564468377522,50,50,1.1000308566347654e-08,1.1000308554218142e-08,1.1000308553947092e-08,1.1000308586717102e-08,2.1066481892262345e-13
12000,1,14.626555634999999,10.324913137000001,15.537708150999606,11.938150959999803,1.4166274757881285,0.7083137378940643,50,50,1.20003041589867e-08,1.2000304135473066e-08,1.2000304195307473e-08,1.2000304168039789e-08,8.876233081878127e-14
12000,2,15.321069821,10.281709187999999,16.241850252000404,12.255398488000537,1.4901286878334923,0.7450643439167461,50,50,1.20003041589867e-08,1.2000304135473066e-08,1.2000304195307473e-08,1.2000304168039789e-08,8.876233081878127e-14
12000,3,15.334588817,10.266396063,16.350729891999435,12.372472864999509,1.4936681502348932,0.7468340751174466,50,50,1.20003041589867e-08,1.2000304135473066e-08,1.2000304195307473e-08,1.2000304168039789e-08,8.876233081878127e-14
