size,seq_avg_s,mpi_np2_avg_s,speedup,efficiency,seq_min_s,seq_max_s,mpi_min_s,mpi_max_s,seq_stdev_s,mpi_stdev_s,max_objective_diff,seq_iterations,mpi_iterations,seq_row_error,seq_col_error,mpi_row_error,mpi_col_error
2000,0.49144983400000003,0.8240602463333334,0.5963760977267285,0.29818804886336425,0.435677923,0.602475286,0.815651734,0.837128799,0.0961512112285511,0.011471837785846534,8.326672684688674e-15,50,50,2.000325630396177e-09,2.0003256352750867e-09,2.0003256168436498e-09,2.000325608386873e-09
3000,0.9181442133333334,1.53057935,0.5998671113218229,0.29993355566091146,0.88156387,0.9821361350000001,1.39759948,1.633664807,0.05560792292336509,0.1208385973080007,3.186340080674199e-14,50,50,3.0003172668763636e-09,3.000317286500423e-09,3.0003172617264033e-09,3.0003173066123733e-09
4000,1.6724803246666666,2.0104539586666665,0.8318918806655269,0.41594594033276344,1.5342492540000001,1.786700041,1.998998799,2.018660927,0.12792677130655838,0.010225599228189608,4.035660694512444e-14,50,50,4.00030466109029e-09,4.0003046404362384e-09,4.0003046734501946e-09,4.000304665589729e-09
5000,2.5603260083333335,2.6014679666666667,0.9841850990054475,0.49209254950272374,2.518289738,2.581396302,2.513951419,2.646291061,0.03640451535403171,0.07579903316874265,2.3592239273284576e-14,50,50,5.000306906244789e-09,5.000306917845752e-09,5.000306884994426e-09,5.000306897815117e-09
6000,3.9265619856666665,3.4562802633333334,1.136065853027723,0.5680329265138615,3.70182753,4.050955589,3.291067254,3.686198959,0.1949969624904749,0.20535916209644145,1.2329026688462363e-13,50,50,6.000310232104908e-09,6.0003103345078034e-09,6.000310250753186e-09,6.00031026563386e-09
7000,4.924188128666667,4.298588648666667,1.1455360191755142,0.5727680095877571,4.835099301,4.983264837,4.125653836000001,4.395975504,0.0785098846942253,0.1501634823800542,4.551914400963142e-15,50,50,7.000309888889351e-09,7.000309877261282e-09,7.000309854709877e-09,7.000309799280041e-09
8000,6.665660505333333,5.250830501333334,1.2694488050301251,0.6347244025150626,6.608639495,6.730991324,5.165219361,5.344403518,0.06159774509520479,0.08985702051598765,1.0513812043200232e-13,50,50,8.000316390296318e-09,8.000316339420131e-09,8.000316356550526e-09,8.000316318061348e-09
9000,8.240619167333334,6.735061174666667,1.2235403589695204,0.6117701794847602,8.052203739,8.373202528,6.188693044,7.597987653000001,0.1676244924520825,0.7560983496524801,1.0902390101819037e-13,50,50,9.00031369776373e-09,9.000313724109844e-09,9.000313690093e-09,9.000313735466861e-09
10000,10.411482680333332,8.931169806,1.1657468065760939,0.5828734032880469,10.263201398,10.692681085999999,7.371094066,11.470285255,0.24364609961489297,2.218046700329574,8.348877145181177e-14,50,50,1.0000311735590384e-08,1.0000311768970259e-08,1.0000311728150047e-08,1.000031173728445e-08
11000,14.236001075,10.052261307333334,1.4161988670762609,0.7080994335381304,12.331905293,16.016742589000003,8.737797474999999,12.060418771,1.8455131213495923,1.7665959384569245,2.1066481892262345e-13,50,50,1.1000308566347654e-08,1.1000308554218142e-08,1.1000308553947092e-08,1.1000308586717102e-08
12000,15.094071424333332,10.291006129333333,1.4667245587687887,0.7333622793843944,14.626555634999999,15.334588817,10.266396063,10.324913137000001,0.4049369713550367,0.03034611714860724,8.876233081878127e-14,50,50,1.20003041589867e-08,1.2000304135473066e-08,1.2000304195307473e-08,1.2000304168039789e-08
