size,rep,seq_runtime_s,mpi_runtime_s,seq_wall_s,mpi_wall_s,speedup,efficiency,seq_iterations,mpi_iterations,seq_row_error,seq_col_error,mpi_row_error,mpi_col_error,objective_diff
2000,1,0.155551217,0.211015007,0.18964676999985386,1.3751752210000632,0.7371571302509304,0.3685785651254652,10,10,2.000325748140533e-09,2.0003257613677994e-09,2.0003257667888102e-09,2.000325754212065e-09,8.104628079763643e-15
2000,2,0.138877629,0.180873588,0.17814811399966857,1.7920624660000612,0.7678159676912032,0.3839079838456016,10,10,2.000325748140533e-09,2.0003257613677994e-09,2.0003257667888102e-09,2.000325754212065e-09,8.104628079763643e-15
2000,3,0.142082027,0.181516945,0.17751989800035517,1.471452249000322,0.7827480073554565,0.39137400367772823,10,10,2.000325748140533e-09,2.0003257613677994e-09,2.0003257667888102e-09,2.000325754212065e-09,8.104628079763643e-15
3000,1,0.318195761,0.336830673,0.3917758210000102,1.5779468709997673,0.9446757273201185,0.47233786366005925,10,10,3.0003175763076637e-09,3.0003175930585872e-09,3.0003176121405455e-09,3.0003176485697385e-09,3.175237850427948e-14
3000,2,0.290857605,0.40684754,0.3682107790000373,1.5561970830003702,0.7149056499149534,0.3574528249574767,10,10,3.0003175763076637e-09,3.0003175930585872e-09,3.0003176121405455e-09,3.0003176485697385e-09,3.175237850427948e-14
3000,3,0.298875229,0.38819356699999996,0.37028700500013656,1.6120166830005473,0.7699128847233062,0.3849564423616531,10,10,3.0003175763076637e-09,3.0003175930585872e-09,3.0003176121405455e-09,3.0003176485697385e-09,3.175237850427948e-14
4000,1,0.5852015850000001,0.543559746,0.6941860039996754,1.8129250410001987,1.0766094974957916,0.5383047487478958,10,10,4.000305316815764e-09,4.0003053012032525e-09,4.000305332970376e-09,4.000305324622019e-09,4.063416270128073e-14
4000,2,0.498412794,0.526196989,0.6161456410000028,1.7965609639995819,0.9471981110100954,0.4735990555050477,10,10,4.000305316815764e-09,4.0003053012032525e-09,4.000305332970376e-09,4.000305324622019e-09,4.063416270128073e-14
4000,3,0.513071517,0.8185186130000001,0.6414374890000545,2.2707598140004848,0.6268293828035404,0.3134146914017702,10,10,4.000305316815764e-09,4.0003053012032525e-09,4.000305332970376e-09,4.000305324622019e-09,4.063416270128073e-14
5000,1,0.806333729,0.730394851,0.9611940309996498,1.9628500110002278,1.103969623958918,0.551984811979459,10,10,5.000307906638133e-09,5.000307910541261e-09,5.000307901081597e-09,5.0003079002142355e-09,2.3647750424515834e-14
