size,seq_avg_s,mpi_np2_avg_s,speedup,efficiency,seq_min_s,seq_max_s,mpi_min_s,mpi_max_s,seq_stdev_s,mpi_stdev_s,max_objective_diff,seq_iterations,mpi_iterations
2000,0.14550362433333333,0.19113518000000002,0.7612602992988173,0.38063014964940867,0.138877629,0.155551217,0.180873588,0.211015007,0.008847747195305776,0.01721944012503917,8.104628079763643e-15,10,10
3000,0.30264286500000004,0.3772905933333333,0.8021479208537209,0.40107396042686044,0.290857605,0.318195761,0.336830673,0.40684754,0.014053113681368128,0.036259433837360744,3.175237850427948e-14,10,10
4000,0.532228632,0.6294251160000001,0.8455789552573241,0.42278947762866204,0.498412794,0.5852015850000001,0.526196989,0.8185186130000001,0.046457721125264466,0.16398972311833152,4.063416270128073e-14,10,10
5000,0.8260809783333334,0.7495399313333333,1.1021173706700904,0.5510586853350452,0.781790452,0.8901187540000001,0.730394851,0.778430741,0.056799829627609204,0.025457731874657833,2.3647750424515834e-14,10,10
6000,1.1566396766666667,1.0152073226666667,1.139313764629373,0.5696568823146865,1.108311041,1.236315559,0.917559197,1.141060249,0.06952177041969444,0.11438886810682876,1.2323475573339238e-13,10,10
7000,1.5776529896666667,1.197229616,1.3177530597160458,0.6588765298580229,1.4752666810000001,1.709471026,1.1236372319999999,1.3369255139999998,0.11984401841269907,0.12103812924855128,4.496403249731884e-15,10,10
8000,2.1166343186666667,1.5667629023333334,1.3509601966669151,0.6754800983334576,2.082074874,2.135008129,1.498320986,1.6834471260000001,0.02994934791114894,0.10155497078163016,1.0524914273446484e-13,10,10
9000,2.7533993750000003,1.8901917613333332,1.4566772701716593,0.7283386350858296,2.62725323,2.8351841870000003,1.834098831,1.996712286,0.11083666640100046,0.09229296094201701,1.0880185641326534e-13,10,10
10000,3.322897576,2.2198125369999997,1.4969271146160754,0.7484635573080377,3.281982998,3.3662109279999997,2.1294341059999997,2.299407354,0.042165170882477294,0.0854981930048416,8.315570454442422e-14,10,10
11000,3.9272521476666666,2.5940453420000003,1.513948921432024,0.756974460716012,3.903157315,3.941131375,2.490423841,2.7738480360000004,0.020946986715652385,0.15631698309213563,2.102207297127734e-13,10,10
12000,4.560251124333333,3.0136856186666665,1.513180769781457,0.7565903848907285,4.504220235,4.6020344699999995,2.9573836,3.118200152,0.05043957293196443,0.09060257047763512,8.809619700400617e-14,10,10
