size,rep,variant,seq_key,seq_runtime_s,mpi_runtime_s,mpi_wall_s,speedup,efficiency,comm_mode,kernel_cutoff,sync_every,column_syncs,column_payload_bytes,payload_ratio_vs_double50,seq_iterations,mpi_iterations,mpi_row_error,mpi_col_error,objective_diff_vs_seq
2000,1,double_baseline,dense,0.610905928,0.865654748,2.2904289739999513,0.705715447655582,0.352857723827791,double,0,1,50,800000,1.0,50,50,2.0003256153257667e-09,2.0003256066521494e-09,8.382183835919932e-15
2000,1,float32_comm,dense,0.610905928,0.953432199,2.0903761539993866,0.6407439654762488,0.3203719827381244,float32,0,1,50,400000,0.5,50,50,1.2527644565165155e-09,3.664686418225222e-08,2.553072753208596e-10
2000,1,quantized_comm,dense,0.610905928,0.744464114,2.184413393999421,0.820598221608839,0.4102991108044195,quantized,0,1,50,400000,0.5,50,50,1.494159294879692e-09,6.517824226160134e-08,1.9006496376761106e-10
2000,1,lazy_sync5,dense,0.610905928,0.41204698900000003,1.926943594999102,1.4826122852702122,0.7413061426351061,lazy,0,5,10,160000,0.2,50,50,2.0003257598499163e-09,2.000325750634198e-09,8.104628079763643e-15
2000,1,sparse_cutoff025,sparse_cutoff025,1.784716714,1.325584486,2.473958722000134,1.3463621012836748,0.6731810506418374,double,0.25,1,50,800000,1.0,50,50,2.0006872899916775e-09,2.0006873230598438e-09,6.8833827526759706e-15
2000,2,double_baseline,dense,0.644483418,0.848830481,1.9076841040005093,0.7592604559166389,0.37963022795831947,double,0,1,50,800000,1.0,50,50,2.0003256153257667e-09,2.0003256066521494e-09,8.382183835919932e-15
2000,2,float32_comm,dense,0.644483418,0.563512538,1.8401628940000592,1.143689580159794,0.571844790079897,float32,0,1,50,400000,0.5,50,50,1.2527644565165155e-09,3.664686418225222e-08,2.553072753208596e-10
2000,2,quantized_comm,dense,0.644483418,1.019791724,2.4199811280004724,0.6319755326823969,0.31598776634119846,quantized,0,1,50,400000,0.5,50,50,1.494159294879692e-09,6.517824226160134e-08,1.9006496376761106e-10
2000,2,lazy_sync5,dense,0.644483418,0.408486998,1.9161403810003321,1.577733002899642,0.788866501449821,lazy,0,5,10,160000,0.2,50,50,2.0003257598499163e-09,2.000325750634198e-09,8.104628079763643e-15
2000,2,sparse_cutoff025,sparse_cutoff025,1.726963808,1.361685472,2.490261976000511,1.2682545591556404,0.6341272795778202,double,0.25,1,50,800000,1.0,50,50,2.0006872899916775e-09,2.0006873230598438e-09,6.8833827526759706e-15
2000,3,double_baseline,dense,0.614718597,0.828107463,1.942335240999455,0.7423174219117018,0.3711587109558509,double,0,1,50,800000,1.0,50,50,2.0003256153257667e-09,2.0003256066521494e-09,8.382183835919932e-15
2000,3,float32_comm,dense,0.614718597,0.68238218,1.8082271419998506,0.9008421014159543,0.45042105070797717,float32,0,1,50,400000,0.5,50,50,1.2527644565165155e-09,3.664686418225222e-08,2.553072753208596e-10
2000,3,quantized_comm,dense,0.614718597,0.799819142,2.0371876609997344,0.7685719992432989,0.38428599962164944,quantized,0,1,50,400000,0.5,50,50,1.494159294879692e-09,6.517824226160134e-08,1.9006496376761106e-10
2000,3,lazy_sync5,dense,0.614718597,0.416803383,1.5972935740001049,1.4748407092463545,0.7374203546231772,lazy,0,5,10,160000,0.2,50,50,2.0003257598499163e-09,2.000325750634198e-09,8.104628079763643e-15
2000,3,sparse_cutoff025,sparse_cutoff025,1.6835004699999998,1.172464432,2.4601266210001995,1.4358648535958316,0.7179324267979158,double,0.25,1,50,800000,1.0,50,50,2.0006872899916775e-09,2.0006873230598438e-09,6.8833827526759706e-15
3000,1,double_baseline,dense,1.191435816,1.262142193,3.2733818769993377,0.9439790719364691,0.47198953596823456,double,0,1,50,1200000,1.0,50,50,3.0003172603711506e-09,3.0003173028718758e-09,3.1807889655510735e-14
3000,1,float32_comm,dense,1.191435816,0.982466304,2.1329466560000583,1.2126989100279617,0.6063494550139809,float32,0,1,50,600000,0.5,50,50,2.880452880230956e-09,2.927360267639947e-08,4.175815249141124e-11
3000,1,quantized_comm,dense,1.191435816,1.033219419,2.2528628549998757,1.1531295232073064,0.5765647616036532,quantized,0,1,50,600000,0.5,50,50,1.8768623807896567e-15,9.861624436079564e-08,1.025247997610279e-09
3000,1,lazy_sync5,dense,1.191435816,0.819274718,1.9723357889997715,1.4542567832539903,0.7271283916269952,lazy,0,5,10,240000,0.2,50,50,3.000317611869495e-09,3.000317647919217e-09,3.175237850427948e-14
3000,1,sparse_cutoff025,sparse_cutoff025,3.593425068,2.741449341,3.90526907200001,1.3107756595236681,0.6553878297618341,double,0.25,1,50,1200000,1.0,50,50,3.000678411258992e-09,3.0006784166257926e-09,4.207745263329343e-14
3000,2,double_baseline,dense,1.1404948510000001,1.5377342489999999,2.90401089199986,0.7416722699267917,0.37083613496339585,double,0,1,50,1200000,1.0,50,50,3.0003172603711506e-09,3.0003173028718758e-09,3.1807889655510735e-14
3000,2,float32_comm,dense,1.1404948510000001,1.080768677,2.579420897000091,1.0552626804153764,0.5276313402076882,float32,0,1,50,600000,0.5,50,50,2.880452880230956e-09,2.927360267639947e-08,4.175815249141124e-11
3000,2,quantized_comm,dense,1.1404948510000001,1.041064215,2.3060419390003517,1.0955086483305934,0.5477543241652967,quantized,0,1,50,600000,0.5,50,50,1.8768623807896567e-15,9.861624436079564e-08,1.025247997610279e-09
3000,2,lazy_sync5,dense,1.1404948510000001,0.753610353,1.9106440649993601,1.5133747120907721,0.7566873560453861,lazy,0,5,10,240000,0.2,50,50,3.000317611869495e-09,3.000317647919217e-09,3.175237850427948e-14
3000,2,sparse_cutoff025,sparse_cutoff025,3.904558088,2.4999716149999998,3.614195189000384,1.5618409683423546,0.7809204841711773,double,0.25,1,50,1200000,1.0,50,50,3.000678411258992e-09,3.0006784166257926e-09,4.207745263329343e-14
3000,3,double_baseline,dense,1.1607958680000001,1.589900329,2.9457377429998814,0.7301060618876066,0.3650530309438033,double,0,1,50,1200000,1.0,50,50,3.0003172603711506e-09,3.0003173028718758e-09,3.1807889655510735e-14
3000,3,float32_comm,dense,1.1607958680000001,1.031303532,2.237567929000761,1.125561807927562,0.562780903963781,float32,0,1,50,600000,0.5,50,50,2.880452880230956e-09,2.927360267639947e-08,4.175815249141124e-11
3000,3,quantized_comm,dense,1.1607958680000001,0.9274917279999999,2.147395062999749,1.2515430951638635,0.6257715475819318,quantized,0,1,50,600000,0.5,50,50,1.8768623807896567e-15,9.861624436079564e-08,1.025247997610279e-09
3000,3,lazy_sync5,dense,1.1607958680000001,0.78057941,2.065118081000037,1.4870951669094117,0.7435475834547058,lazy,0,5,10,240000,0.2,50,50,3.000317611869495e-09,3.000317647919217e-09,3.175237850427948e-14
3000,3,sparse_cutoff025,sparse_cutoff025,3.622285914,2.7092249600000002,4.033472522000011,1.3370192462718191,0.6685096231359096,double,0.25,1,50,1200000,1.0,50,50,3.000678411258992e-09,3.0006784166257926e-09,4.207745263329343e-14
