size,variant,seq_avg_s,mpi_np2_avg_s,speedup,efficiency,mpi_min_s,mpi_max_s,mpi_stdev_s,avg_column_syncs,avg_payload_bytes,payload_ratio_vs_double50,max_objective_diff_vs_seq,avg_mpi_row_error,avg_mpi_col_error,iterations
2000,double_baseline,0.6233693143333333,0.8475308973333333,0.735512199371963,0.3677560996859815,0.828107463,0.865654748,0.01880734805861276,50,800000,1.0,8.382183835919932e-15,2.0003256153257667e-09,2.0003256066521494e-09,50
2000,float32_comm,0.6233693143333333,0.7331089723333333,0.850309214398616,0.425154607199308,0.563512538,0.953432199,0.1998480450339972,50,400000,0.5,2.553072753208596e-10,1.2527644565165155e-09,3.664686418225222e-08,50
2000,quantized_comm,0.6233693143333333,0.8546916600000001,0.7293499439708272,0.3646749719854136,0.744464114,1.019791724,0.14563505117526918,50,400000,0.5,1.9006496376761106e-10,1.494159294879692e-09,6.517824226160134e-08,50
2000,lazy_sync5,0.6233693143333333,0.41244579000000003,1.5113969628186368,0.7556984814093184,0.408486998,0.416803383,0.004172510820268432,10,160000,0.2,8.104628079763643e-15,2.0003257598499163e-09,2.000325750634198e-09,50
2000,sparse_cutoff025,1.7317269973333334,1.2865781299999999,1.345994430461315,0.6729972152306575,1.172464432,1.361685472,0.10046030236351797,50,800000,1.0,6.8833827526759706e-15,2.0006872899916775e-09,2.0006873230598438e-09,50
3000,double_baseline,1.1642421783333334,1.4632589236666667,0.795650147422952,0.397825073711476,1.262142193,1.589900329,0.1761143931970865,50,1200000,1.0,3.1807889655510735e-14,3.0003172603711506e-09,3.0003173028718758e-09,50
3000,float32_comm,1.1642421783333334,1.0315128376666667,1.1286744438071241,0.5643372219035621,0.982466304,1.080768677,0.04915152073948838,50,600000,0.5,4.175815249141124e-11,2.880452880230956e-09,2.927360267639947e-08,50
3000,quantized_comm,1.1642421783333334,1.0005917873333332,1.163553602049986,0.581776801024993,0.9274917279999999,1.041064215,0.06342790562499324,50,600000,0.5,1.025247997610279e-09,1.8768623807896567e-15,9.861624436079564e-08,50
3000,lazy_sync5,1.1642421783333334,0.7844881603333334,1.4840787117024692,0.7420393558512346,0.753610353,0.819274718,0.03300622599737139,10,240000,0.2,3.175237850427948e-14,3.000317611869495e-09,3.000317647919217e-09,50
3000,sparse_cutoff025,3.706756356666667,2.6502153053333335,1.398662346114723,0.6993311730573615,2.4999716149999998,2.741449341,0.13110864787054385,50,1200000,1.0,4.207745263329343e-14,3.000678411258992e-09,3.0006784166257926e-09,50
