size,seq_runtime_sec,mpi_np3_runtime_sec,speedup,efficiency_np3,objective_diff,row_error,col_error
2000,1.1744114940000001,8.544039485999999,0.13745389355051024,0.04581796451683675,3.2335245592207684e-15,2.0041412377314743e-09,2.0041412088916966e-09
3000,3.323013258,10.665193424,0.3115755266587278,0.1038585088862426,1.8735013540549517e-15,3.0041238843325074e-09,3.004123933555286e-09
4000,4.1823743790000005,15.186027764,0.27540937261518367,0.09180312420506122,5.384581669432009e-15,4.003998677537188e-09,4.003998671519866e-09
5000,6.959066749,20.212556682000002,0.3442942354342187,0.11476474514473957,7.868705687030797e-15,5.004002762338828e-09,5.004002785513649e-09
6000,11.144054059,23.833790669,0.4675737155606886,0.1558579051868962,9.270362255620057e-15,6.0040015687835065e-09,6.004001578595536e-09
7000,12.687949487000001,34.070994489,0.3723973918958066,0.12413246396526888,2.2551405187698492e-14,7.003961358640915e-09,7.003961360538269e-09
8000,13.546930533,38.50439338,0.3518281770941121,0.11727605903137071,2.9629076969683865e-14,8.003961392971659e-09,8.00396141105073e-09
9000,15.189301542,42.77273356,0.355116455690002,0.11837215189666733,1.292022044907526e-14,9.003957010452488e-09,9.003956967924658e-09
10000,31.403046318,44.172835402000004,0.7109130766049528,0.23697102553498428,3.899658373995862e-15,1.0003939636751835e-08,1.0003939617724087e-08
11000,26.001794191,40.095501102,0.6484965513924704,0.21616551713082346,1.5501488981328748e-14,1.1003922541772456e-08,1.1003922575464039e-08
12000,32.45865443300001,128.674847069,0.25225329714667954,0.08408443238222651,6.447620215510597e-14,1.2003910753054692e-08,1.2003910722588611e-08
