size,kind,rep,runtime_sec,iterations,row_error,col_error,objective,processes,hostnames
2000,seq,1,1.529906108,50,2.0041412633186456e-09,2.004141259957619e-09,0.10013719867162223,1,vmubuntu
2000,mpi_np3,1,2.260156847,50,2.0041412377314743e-09,2.0041412088916966e-09,0.100137198671619,3,vmubuntu;VMubuntu;quan
2000,seq,2,1.2227154,50,2.0041412633186456e-09,2.004141259957619e-09,0.10013719867162223,1,vmubuntu
2000,mpi_np3,2,2.834114488,50,2.0041412377314743e-09,2.0041412088916966e-09,0.100137198671619,3,vmubuntu;VMubuntu;quan
2000,seq,3,1.354102919,50,2.0041412633186456e-09,2.004141259957619e-09,0.10013719867162223,1,vmubuntu
2000,mpi_np3,3,1.874080434,50,2.0041412377314743e-09,2.0041412088916966e-09,0.100137198671619,3,vmubuntu;VMubuntu;quan
3000,seq,1,1.973662203,50,3.0041238938734866e-09,3.0041239282969055e-09,0.10008101795440717,1,vmubuntu
3000,mpi_np3,1,2.303049567,50,3.0041238843325074e-09,3.004123933555286e-09,0.1000810179544053,3,vmubuntu;VMubuntu;quan
3000,seq,2,2.3043419500000004,50,3.0041238938734866e-09,3.0041239282969055e-09,0.10008101795440717,1,vmubuntu
3000,mpi_np3,2,2.20443077,50,3.0041238843325074e-09,3.004123933555286e-09,0.1000810179544053,3,vmubuntu;VMubuntu;quan
3000,seq,3,2.2900005770000003,50,3.0041238938734866e-09,3.0041239282969055e-09,0.10008101795440717,1,vmubuntu
3000,mpi_np3,3,2.7395612039999997,50,3.0041238843325074e-09,3.004123933555286e-09,0.1000810179544053,3,vmubuntu;VMubuntu;quan
4000,seq,1,3.994826594,50,4.003998679814012e-09,4.0039986399695825e-09,0.10001810744139047,1,vmubuntu
4000,mpi_np3,1,3.168327643,50,4.003998677537188e-09,4.003998671519866e-09,0.10001810744138509,3,vmubuntu;VMubuntu;quan
4000,seq,2,3.625572827,50,4.003998679814012e-09,4.0039986399695825e-09,0.10001810744139047,1,vmubuntu
4000,mpi_np3,2,3.44727956,50,4.003998677537188e-09,4.003998671519866e-09,0.10001810744138509,3,vmubuntu;VMubuntu;quan
4000,seq,3,3.881396022,50,4.003998679814012e-09,4.0039986399695825e-09,0.10001810744139047,1,vmubuntu
4000,mpi_np3,3,3.3977854589999996,50,4.003998677537188e-09,4.003998671519866e-09,0.10001810744138509,3,vmubuntu;VMubuntu;quan
5000,seq,1,5.359491899,50,5.004002774319262e-09,5.0040027965454065e-09,0.10002145491730256,1,vmubuntu
5000,mpi_np3,1,4.359140128,50,5.004002762338828e-09,5.004002785513649e-09,0.1000214549172947,3,vmubuntu;VMubuntu;quan
5000,seq,2,5.129038881,50,5.004002774319262e-09,5.0040027965454065e-09,0.10002145491730256,1,vmubuntu
5000,mpi_np3,2,4.278766205999999,50,5.004002762338828e-09,5.004002785513649e-09,0.1000214549172947,3,vmubuntu;VMubuntu;quan
5000,seq,3,6.5336530360000005,50,5.004002774319262e-09,5.0040027965454065e-09,0.10002145491730256,1,vmubuntu
5000,mpi_np3,3,4.021405654,50,5.004002762338828e-09,5.004002785513649e-09,0.1000214549172947,3,vmubuntu;VMubuntu;quan
6000,seq,1,6.6382849450000005,50,6.004001594451993e-09,6.004001623047825e-09,0.09999779825360905,1,vmubuntu
6000,mpi_np3,1,5.605646412,50,6.0040015687835065e-09,6.004001578595536e-09,0.09999779825359978,3,vmubuntu;VMubuntu;quan
6000,seq,2,7.777000598,50,6.004001594451993e-09,6.004001623047825e-09,0.09999779825360905,1,vmubuntu
6000,mpi_np3,2,5.890454191,50,6.0040015687835065e-09,6.004001578595536e-09,0.09999779825359978,3,vmubuntu;VMubuntu;quan
6000,seq,3,7.182472509,50,6.004001594451993e-09,6.004001623047825e-09,0.09999779825360905,1,vmubuntu
6000,mpi_np3,3,5.610769185,50,6.0040015687835065e-09,6.004001578595536e-09,0.09999779825359978,3,vmubuntu;VMubuntu;quan
7000,seq,1,10.010755395999999,50,7.0039613758526246e-09,7.00396134118526e-09,0.10000462254474766,1,vmubuntu
7000,mpi_np3,1,6.681139011,50,7.003961358640915e-09,7.003961360538269e-09,0.10000462254472511,3,vmubuntu;VMubuntu;quan
7000,seq,2,8.426946363,50,7.0039613758526246e-09,7.00396134118526e-09,0.10000462254474766,1,vmubuntu
7000,mpi_np3,2,7.024365693,50,7.003961358640915e-09,7.003961360538269e-09,0.10000462254472511,3,vmubuntu;VMubuntu;quan
7000,seq,3,9.272003872,50,7.0039613758526246e-09,7.00396134118526e-09,0.10000462254474766,1,vmubuntu
7000,mpi_np3,3,6.017157448,50,7.003961358640915e-09,7.003961360538269e-09,0.10000462254472511,3,vmubuntu;VMubuntu;quan
8000,seq,1,15.273454727,50,8.003961391426671e-09,8.003961402810794e-09,0.09999732950020368,1,vmubuntu
8000,mpi_np3,1,7.661402167,50,8.003961392971659e-09,8.00396141105073e-09,0.09999732950017405,3,vmubuntu;VMubuntu;quan
8000,seq,2,14.745693152000001,50,8.003961391426671e-09,8.003961402810794e-09,0.09999732950020368,1,vmubuntu
8000,mpi_np3,2,7.096336,50,8.003961392971659e-09,8.00396141105073e-09,0.09999732950017405,3,vmubuntu;VMubuntu;quan
8000,seq,3,11.156455976,50,8.003961391426671e-09,8.003961402810794e-09,0.09999732950020368,1,vmubuntu
8000,mpi_np3,3,7.961031429,50,8.003961392971659e-09,8.00396141105073e-09,0.09999732950017405,3,vmubuntu;VMubuntu;quan
9000,seq,1,18.419249605,50,9.00395704661063e-09,9.003957000193225e-09,0.09999960189824096,1,vmubuntu
9000,mpi_np3,1,9.016478146999999,50,9.003957010452488e-09,9.003956967924658e-09,0.09999960189822804,3,vmubuntu;VMubuntu;quan
9000,seq,2,13.681725642,50,9.00395704661063e-09,9.003957000193225e-09,0.09999960189824096,1,vmubuntu
9000,mpi_np3,2,8.365417676,50,9.003957010452488e-09,9.003956967924658e-09,0.09999960189822804,3,vmubuntu;VMubuntu;quan
9000,seq,3,14.124732981,50,9.00395704661063e-09,9.003957000193225e-09,0.09999960189824096,1,vmubuntu
9000,mpi_np3,3,12.125018461,50,9.003957010452488e-09,9.003956967924658e-09,0.09999960189822804,3,vmubuntu;VMubuntu;quan
10000,seq,1,17.823990699,50,1.0003939657094178e-08,1.0003939648176616e-08,0.09999382893214502,1,vmubuntu
10000,mpi_np3,1,10.466317977,50,1.0003939636751835e-08,1.0003939617724087e-08,0.09999382893214112,3,vmubuntu;VMubuntu;quan
10000,seq,2,17.915628744,50,1.0003939657094178e-08,1.0003939648176616e-08,0.09999382893214502,1,vmubuntu
10000,mpi_np3,2,9.915155090999999,50,1.0003939636751835e-08,1.0003939617724087e-08,0.09999382893214112,3,vmubuntu;VMubuntu;quan
10000,seq,3,18.887019246999998,50,1.0003939657094178e-08,1.0003939648176616e-08,0.09999382893214502,1,vmubuntu
10000,mpi_np3,3,9.178746523000001,50,1.0003939636751835e-08,1.0003939617724087e-08,0.09999382893214112,3,vmubuntu;VMubuntu;quan
11000,seq,1,22.214182809,50,1.1003922502009341e-08,1.100392250640036e-08,0.099998285728546,1,vmubuntu
11000,mpi_np3,1,11.978622803,50,1.1003922541772456e-08,1.1003922575464039e-08,0.09999828572853049,3,vmubuntu;VMubuntu;quan
11000,seq,2,20.387010501,50,1.1003922502009341e-08,1.100392250640036e-08,0.099998285728546,1,vmubuntu
11000,mpi_np3,2,11.83049166,50,1.1003922541772456e-08,1.1003922575464039e-08,0.09999828572853049,3,vmubuntu;VMubuntu;quan
11000,seq,3,16.409440804,50,1.1003922502009341e-08,1.100392250640036e-08,0.099998285728546,1,vmubuntu
11000,mpi_np3,3,11.141356223,50,1.1003922541772456e-08,1.1003922575464039e-08,0.09999828572853049,3,vmubuntu;VMubuntu;quan
12000,seq,1,33.207339950999994,50,1.2003910782558544e-08,1.2003910757743866e-08,0.0999991823607845,1,vmubuntu
12000,mpi_np3,1,16.299030747,50,1.2003910753054692e-08,1.2003910722588611e-08,0.09999918236084898,3,vmubuntu;VMubuntu;quan
12000,seq,2,26.804977218,50,1.2003910782558544e-08,1.2003910757743866e-08,0.0999991823607845,1,vmubuntu
12000,mpi_np3,2,15.733437341,50,1.2003910753054692e-08,1.2003910722588611e-08,0.09999918236084898,3,vmubuntu;VMubuntu;quan
12000,seq,3,19.266073202999998,50,1.2003910782558544e-08,1.2003910757743866e-08,0.0999991823607845,1,vmubuntu
12000,mpi_np3,3,12.422239055,50,1.2003910753054692e-08,1.2003910722588611e-08,0.09999918236084898,3,vmubuntu;VMubuntu;quan
