size,seq_avg_sec,seq_min_sec,seq_max_sec,mpi_np3_avg_sec,mpi_np3_min_sec,mpi_np3_max_sec,speedup_avg,efficiency_np3_avg,max_objective_diff,max_mpi_row_error,max_mpi_col_error
2000,1.3689081423333334,1.2227154,1.529906108,2.3227839230000003,1.874080434,2.834114488,0.5893394253242957,0.19644647510809857,3.2335245592207684e-15,2.0041412377314743e-09,2.0041412088916966e-09
3000,2.1893349100000004,1.973662203,2.3043419500000004,2.4156805136666666,2.20443077,2.7395612039999997,0.9063015152930529,0.3021005050976843,1.8735013540549517e-15,3.0041238843325074e-09,3.004123933555286e-09
4000,3.8339318143333334,3.625572827,3.994826594,3.3377975539999998,3.168327643,3.44727956,1.1486412079542598,0.3828804026514199,5.384581669432009e-15,4.003998677537188e-09,4.003998671519866e-09
5000,5.674061272,5.129038881,6.5336530360000005,4.219770662666666,4.021405654,4.359140128,1.3446373572383437,0.44821245241278124,7.868705687030797e-15,5.004002762338828e-09,5.004002785513649e-09
6000,7.199252684,6.6382849450000005,7.777000598,5.702289929333333,5.605646412,5.890454191,1.2625195795405093,0.4208398598468364,9.270362255620057e-15,6.0040015687835065e-09,6.004001578595536e-09
7000,9.236568543666667,8.426946363,10.010755395999999,6.574220717333334,6.017157448,7.024365693,1.4049678191232446,0.46832260637441486,2.2551405187698492e-14,7.003961358640915e-09,7.003961360538269e-09
8000,13.725201285,11.156455976,15.273454727,7.5729231986666665,7.096336,7.961031429,1.8124046586682063,0.6041348862227355,2.9629076969683865e-14,8.003961392971659e-09,8.00396141105073e-09
9000,15.408569409333333,13.681725642,18.419249605,9.835638094666667,8.365417676,12.125018461,1.56660597523292,0.5222019917443067,1.292022044907526e-14,9.003957010452488e-09,9.003956967924658e-09
10000,18.208879563333333,17.823990699,18.887019246999998,9.853406530333332,9.178746523000001,10.466317977,1.8479781086143152,0.6159927028714384,3.899658373995862e-15,1.0003939636751835e-08,1.0003939617724087e-08
11000,19.670211371333334,16.409440804,22.214182809,11.650156895333334,11.141356223,11.978622803,1.688407422153479,0.5628024740511597,1.5501488981328748e-14,1.1003922541772456e-08,1.1003922575464039e-08
12000,26.426130123999997,19.266073202999998,33.207339950999994,14.818235714333333,12.422239055,16.299030747,1.7833519882828304,0.5944506627609435,6.447620215510597e-14,1.2003910753054692e-08,1.2003910722588611e-08
