size,seq_count,mpi_count,seq_avg4_sec,seq_first3_sec,seq_last3_sec,mpi_avg_completed_sec,mpi_first3_sec,mpi_last3_sec,speedup_completed,max_obj_diff_completed,mpi_reps_completed
2000,4,2,0.830284,0.874146,0.829626,4.461267,,,0.186109,0.000000,1;2
3000,4,2,1.684834,1.859765,1.417115,8.051582,,,0.209255,0.000000,1;2
4000,4,2,2.982345,3.066760,2.665368,7.284696,,,0.409399,0.000000,1;2
5000,4,2,4.470832,4.875283,4.126117,9.856057,,,0.453613,0.000000,1;2
6000,4,2,5.720373,6.068530,5.346807,13.032648,,,0.438926,0.000000,1;2
7000,4,1,8.077537,7.797413,7.922332,16.063526,,,0.502850,0.000000,1
8000,4,1,9.678097,10.136959,9.013072,15.372078,,,0.629589,0.000000,1
9000,4,1,12.257773,12.305279,11.628196,18.497545,,,0.662670,0.000000,1
10000,4,1,15.736657,16.009310,15.150803,19.975625,,,0.787793,0.000000,1
11000,4,1,18.448066,18.383088,17.658260,24.320993,,,0.758524,0.000000,1
12000,4,1,22.292274,22.367767,21.727167,25.929016,,,0.859742,0.000000,1
