size,seq_avg4_sec,mpi_np4_avg4_sec,speedup_avg4,efficiency_avg4,seq_first3_sec,mpi_first3_sec,speedup_first3,seq_last3_sec,mpi_last3_sec,speedup_last3,mpi_min_sec,mpi_max_sec,max_obj_diff,max_mpi_row_error,max_mpi_col_error
2000,0.63696578525,1.0840317855,0.587589583414,0.146897395854,0.664700465333,1.10176125467,0.603307170694,0.526594494333,0.982583395,0.5359285502,0.945275026,1.388376957,3.46944695195e-15,2.00414124304e-09,2.00414120618e-09
3000,1.333902094,1.17079516425,1.13931295134,0.284828237836,1.39092861467,1.194293455,1.16464559765,1.13800363467,1.166640799,0.975453314887,1.100300292,1.273630583,1.63757896132e-15,3.00412386975e-09,3.00412391789e-09
4000,2.4711400785,1.528338229,1.61688036824,0.40422009206,2.540536193,1.50700341267,1.68581980084,2.161304671,1.540452863,1.40303200631,1.386274196,1.642741715,4.46864767412e-15,4.00399870654e-09,4.00399869597e-09
5000,3.55242817275,1.845596784,1.92481272375,0.481203180937,3.65556679,1.86675012433,1.9582517994,3.265302714,1.80521564033,1.80881587831,1.772238244,1.966740215,2.81719092499e-15,5.00400276074e-09,5.00400277614e-09
6000,5.40062073075,2.473191004,2.18366503922,0.545916259805,5.14972192433,2.540073533,2.02739088354,5.24752500867,2.42505765267,2.16387639399,2.272543417,2.635975255,7.93809462607e-15,6.00400156437e-09,6.00400158488e-09
7000,6.76465668375,2.934456374,2.30525038426,0.576312596064,6.923857324,2.97679393,2.32594445125,6.28322645033,2.89735307733,2.16860916934,2.807443706,3.045766264,2.05252481678e-14,7.00396136376e-09,7.00396137883e-09
8000,8.88135788725,3.4505852735,2.57386999112,0.643467497779,8.983141608,3.487636786,2.57571018979,8.46502676967,3.19515261733,2.64933409557,3.060273145,4.216883242,3.74283937177e-14,8.00396140967e-09,8.00396141419e-09
9000,11.2250853705,4.1968732625,2.67463053288,0.668657633219,11.0306004143,4.27929637967,2.57766684886,10.8418120343,3.789235722,2.86121340285,3.684414208,5.419785884,3.08780778724e-14,9.0039570062e-09,9.00395696624e-09
10000,13.4113757227,4.65961397475,2.87821604867,0.719554012168,13.6441974717,4.67265183467,2.9200115811,12.473802693,4.45774134833,2.79823384048,4.311768872,5.265231854,2.53963516883e-15,1.00039396503e-08,1.00039396397e-08
11000,15.5787412732,5.78384015275,2.69349443654,0.673373609134,15.7064836703,5.932014296,2.6477487893,15.006529012,5.372951571,2.79297678635,5.140581769,7.016505898,5.49560397189e-15,1.10039225364e-08,1.10039225606e-08
12000,19.6725738772,6.14276501525,3.20256005698,0.800640014245,20.053768652,6.0405526,3.31985663894,18.7788387203,6.154625751,3.05117475539,5.83512671,6.449402261,6.51145803943e-14,1.20039107615e-08,1.20039107285e-08
