size,max_iters,np,seq_count,mpi_count,seq_avg_sec,mpi_avg_sec,speedup,efficiency,mpi_first3_sec,mpi_last3_sec,max_obj_diff,avg_rank_imbalance_pct,avg_max_rank_compute_sec,avg_max_rank_comm_sec,avg_max_rank_overhead_sec
2000,50,3,4,4,0.63696578525,0.57060586075,1.1162973061874568,0.3720991020624856,0.5860657856666667,0.5397787496666666,3.2335245592207684e-15,0.33175648098036137,0.20109698950000005,0.42555669375,0.0003120020000000334
3000,50,3,4,4,1.333902094,1.0501630655,1.2701856862247456,0.42339522874158186,1.072348194,1.043554243,1.8735013540549517e-15,0.39636702914782723,0.4434925457499999,0.7067246652499998,0.0004803457500000552
4000,50,3,4,4,2.4711400785,1.41274531325,1.7491759167936491,0.5830586389312163,1.3962792206666668,1.4031649376666666,5.384581669432009e-15,0.47113837512434015,0.7536669949999997,0.8074983209999999,0.0005524207500000045
5000,50,3,4,4,3.55242817275,2.15936222825,1.645128420917585,0.5483761403058617,2.220982396,1.9146159753333334,7.868705687030797e-15,0.2852708772101359,1.2779918040000002,1.18469182125,0.0007156407500003015
6000,50,3,4,4,5.40062073075,2.61077571625,2.0685885413808,0.6895295137936,2.655790296,2.5256075383333334,9.270362255620057e-15,0.17584364847999462,1.7347137510000004,1.2407534290000002,0.0009769127499996422
7000,50,3,4,4,6.76465668375,3.34252609875,2.0238156663248703,0.6746052221082901,3.3848358056666665,3.1649192716666668,2.2551405187698492e-14,0.155098380334245,2.4922461257500004,1.582175873000001,0.0010177284999985658
8000,50,3,4,4,8.881357887250001,4.169839769,2.1299038762297346,0.7099679587432449,4.270646995666667,4.0962765186666665,2.9629076969683865e-14,0.11555545169718323,3.1442521599999997,1.9043475207499991,0.001131322500000309
9000,50,3,4,4,11.2250853705,5.01063602775,2.240251598466346,0.7467505328221153,5.068486692333334,4.944181752,1.292022044907526e-14,0.0751978047666293,4.0053739275,2.0712961064999997,0.0012215134999990773
10000,50,3,4,4,13.411375722749998,6.85194110575,1.957310419888966,0.6524368066296553,7.261935865333333,6.702115057666667,3.899658373995862e-15,0.07711458025613549,5.336549670249999,3.165636386749999,0.0013906935000015386
11000,50,3,4,4,15.57874127325,7.372732363,2.1130214018661237,0.7043404672887079,7.557775576,7.080852474,1.5501488981328748e-14,0.0813857824086898,6.0040182149999985,2.7269025079999984,0.0017596622499994607
12000,50,3,4,4,19.67257387725,8.25547109575,2.382974108815866,0.794324702938622,8.299785803666667,8.165746863,6.447620215510597e-14,0.052625807801775525,7.01939115425,2.9563160285,0.002386084249998255
