experiment,size,max_iters,np,count,mpi_avg_sec,avg_rank_imbalance_pct,avg_max_rank_compute_sec,avg_max_rank_comm_sec,avg_max_rank_overhead_sec,seq_baseline_avg_sec,speedup_vs_seq,efficiency_vs_seq
baseline,2000,50,3,4,0.57060586075,0.33175648098036137,0.20109698950000005,0.42555669375,0.0003120020000000334,,,
baseline,3000,50,3,4,1.0501630655,0.39636702914782723,0.4434925457499999,0.7067246652499998,0.0004803457500000552,,,
baseline,4000,50,3,4,1.41274531325,0.47113837512434015,0.7536669949999997,0.8074983209999999,0.0005524207500000045,,,
baseline,5000,50,3,4,2.15936222825,0.2852708772101359,1.2779918040000002,1.18469182125,0.0007156407500003015,,,
baseline,6000,50,3,4,2.61077571625,0.17584364847999462,1.7347137510000004,1.2407534290000002,0.0009769127499996422,,,
baseline,7000,50,3,4,3.34252609875,0.155098380334245,2.4922461257500004,1.582175873000001,0.0010177284999985658,,,
baseline,8000,50,3,4,4.169839769,0.11555545169718323,3.1442521599999997,1.9043475207499991,0.001131322500000309,,,
baseline,9000,50,3,4,5.01063602775,0.0751978047666293,4.0053739275,2.0712961064999997,0.0012215134999990773,,,
baseline,10000,50,3,4,6.85194110575,0.07711458025613549,5.336549670249999,3.165636386749999,0.0013906935000015386,,,
baseline,11000,50,3,4,7.372732363,0.0813857824086898,6.0040182149999985,2.7269025079999984,0.0017596622499994607,,,
baseline,12000,50,3,4,8.25547109575,0.052625807801775525,7.01939115425,2.9563160285,0.002386084249998255,,,
,8000,50,1,3,9.666669506,0.0,9.664566484333335,0.0004657403333338343,0.0016372813333310383,8.881357887250001,0.9187608908877495,0.9187608908877495
,8000,50,2,3,5.355490378333333,0.048188267924087154,4.403633371666665,1.020810097999999,0.0006804800000024258,8.881357887250001,1.6583650160555312,0.8291825080277656
,8000,50,3,3,3.9899044040000002,0.19092675210634186,2.9214110686666666,1.5417241040000003,0.0008315986666670069,8.881357887250001,2.2259575638820244,0.7419858546273415
,8000,50,4,3,3.437791325666667,0.5123043391855464,2.2314284693333337,1.6661017156666675,0.0009684166666668789,8.881357887250001,2.583448803579636,0.645862200894909
,8000,50,6,3,3.4504239746666667,0.4524677033790643,1.6228504119999998,2.1197212673333325,0.0011333453333335353,8.881357887250001,2.5739903132072337,0.42899838553453895
input_calibration,8000,50,3,1,3.760022899,0.05913405475777876,2.9623108219999996,1.4789057340000002,0.0008241589999984367,,,
input_calibration,10000,50,3,1,5.709555254,0.24433577361785364,4.622992416999998,2.166967552,0.00115716700000279,,,
input_calibration,12000,50,3,1,8.954440169,0.024544527167744745,7.057102418000002,3.7787549090000017,0.0012676560000022263,,,
workload_calibration,8000,200,3,1,14.175814132,0.05140988681241537,10.760649102000006,5.883128673999995,0.0024320640000130567,,,
workload_calibration,8000,500,3,1,39.863569321,0.010738509052043703,28.342511738999967,15.470326566999965,0.006429937000074659,,,
workload_calibration,8000,1000,3,1,73.746396805,0.0034121273838711086,52.29575747399991,31.087870545999998,0.012271468000076169,,,
workload_calibration,8000,2000,3,1,164.393671816,0.0020010539114253528,125.18205905399999,81.28272159100024,0.025425526999640624,,,
load_balance,8000,50,3,3,4.485171927,0.20868755259200047,3.3580514283333343,2.197159085,0.0007784849999983301,,,
