experiment,size,max_iters,np,rep,rank,local_rows,total_sec,compute_sec,comm_sec,overhead_sec
baseline,10000,50,3,1,0,3334,7.297857067000001,5.173170927000001,2.121946013999997,0.0027401260000026184
baseline,10000,50,3,1,1,3333,7.30141925,5.045748996,2.2532176140000035,0.002452639999996453
baseline,10000,50,3,1,2,3333,7.298792071,4.180574621000002,3.1168254039999974,0.0013920460000012014
baseline,10000,50,3,2,0,3334,8.686769639,6.775798349999998,1.9099822049999986,0.000989084000003082
baseline,10000,50,3,2,1,3333,8.686570293,4.536675174000003,4.149347828,0.0005472909999983955
baseline,10000,50,3,2,2,3333,8.686865913,3.533907029,5.152045741999999,0.0009131420000008106
baseline,10000,50,3,3,0,3334,5.78955519,4.808952816999998,0.9800277930000012,0.0005745800000005463
baseline,10000,50,3,3,1,3333,5.796386888,4.561479364000002,1.2343271519999996,0.0005803719999981638
baseline,10000,50,3,3,2,3333,5.797522433,3.491682182999998,2.304823259000001,0.0010169910000010773
baseline,10000,50,3,4,0,3334,5.619922851,4.559344777999998,1.060025659,0.000552414000002166
baseline,10000,50,3,4,1,3333,5.621956827,4.588276587000002,1.0330815090000007,0.000598730999997299
baseline,10000,50,3,4,2,3333,5.615275539,3.525607824000003,2.0888511419999976,0.0008165729999993765
baseline,11000,50,3,1,0,3667,8.24837203,6.207857602000001,2.0379659820000016,0.002548445999998261
baseline,11000,50,3,1,1,3667,8.247073986,6.275602722999996,1.9686498130000003,0.002821450000003889
baseline,11000,50,3,1,2,3666,8.243462737,5.3506545260000005,2.891898348999998,0.0009098620000012048
baseline,11000,50,3,2,0,3667,7.5522756079999995,6.51596483,1.0341286600000004,0.0021821179999994555
baseline,11000,50,3,2,1,3667,7.54772748,5.471196079999997,2.075580618999999,0.0009507810000042305
baseline,11000,50,3,2,2,3666,7.550469161,4.351424483000004,3.197818005999996,0.0012266719999995956
baseline,11000,50,3,3,0,3667,6.871521749,5.635728764,1.2349305740000003,0.0008624110000003959
baseline,11000,50,3,3,1,3667,6.87267909,5.482000829000001,1.3898172900000003,0.0008609709999984894
baseline,11000,50,3,3,2,3666,6.866678525,4.604609245000004,2.260839635999999,0.00122964399999681
baseline,11000,50,3,4,0,3667,6.809524381,5.524293953999999,1.2845585389999998,0.0006718880000011751
baseline,11000,50,3,4,1,3667,6.817602724,5.588776542999999,1.228129530999999,0.0006966500000022968
baseline,11000,50,3,4,2,3666,6.812453716,4.254594238000002,2.5570540410000007,0.0008054369999976885
baseline,12000,50,3,1,0,4000,8.523482043,7.4406593899999995,1.0797625859999993,0.0030600670000007213
baseline,12000,50,3,1,1,4000,8.524643794,7.126819931,1.394714935000003,0.0031089279999962915
baseline,12000,50,3,1,2,4000,8.523854616000001,5.658356594000002,2.8641562309999964,0.0013417910000033118
baseline,12000,50,3,2,0,4000,8.389305596,7.218537038999999,1.1676284659999983,0.003140091000002343
baseline,12000,50,3,2,1,4000,8.397680927,6.515072702000002,1.881661783999998,0.0009464409999995205
baseline,12000,50,3,2,2,4000,8.399059277000001,5.126739535999999,3.2709734280000027,0.0013463129999995438
baseline,12000,50,3,3,0,4000,7.975388372,6.7577282909999985,1.2165199999999992,0.001140081000002624
baseline,12000,50,3,3,1,4000,7.97565434,6.647582386000002,1.3272916360000018,0.0007803179999967824
baseline,12000,50,3,3,2,4000,7.971923007,5.075893258000001,2.8944397210000026,0.001590027999996746
baseline,12000,50,3,4,0,4000,8.120666073,6.605041151999996,1.5146340059999988,0.0009909150000062539
baseline,12000,50,3,4,1,4000,8.122526972,6.660639897000002,1.4612655769999996,0.0006214979999976666
baseline,12000,50,3,4,2,4000,8.119768335000002,5.322368311000006,2.795694733999998,0.001705289999997639
baseline,2000,50,3,1,0,667,0.6630871939999999,0.19296780499999985,0.46999612399999974,0.0001232650000003166
baseline,2000,50,3,1,1,667,0.6617795980000001,0.2529684310000002,0.4081331769999998,0.0006779900000000727
baseline,2000,50,3,1,2,666,0.661283485,0.15111033400000018,0.5100064830000001,0.0001666679999997589
baseline,2000,50,3,2,0,667,0.513135393,0.17928768199999992,0.33374848100000004,9.923000000006121e-05
baseline,2000,50,3,2,1,667,0.510704742,0.18228212600000004,0.3281824089999998,0.00024020700000021433
baseline,2000,50,3,2,2,666,0.5126975770000001,0.14195482699999995,0.37059735499999985,0.00014539500000027017
baseline,2000,50,3,3,0,667,0.581596331,0.18338801299999996,0.39809319800000004,0.00011511999999996858
baseline,2000,50,3,3,1,667,0.580675779,0.18606533300000022,0.3944852929999999,0.00012515299999987795
baseline,2000,50,3,3,2,666,0.58197477,0.1415327230000002,0.44025966,0.00018238699999978403
baseline,2000,50,3,4,0,667,0.524226086,0.17995402699999977,0.34417425999999995,9.779900000028707e-05
baseline,2000,50,3,4,1,667,0.522348733,0.18307206799999973,0.3391581940000003,0.00011847099999989785
baseline,2000,50,3,4,2,666,0.523966748,0.14245604699999992,0.381363277,0.00014742400000006262
baseline,3000,50,3,1,0,1000,1.06544966,0.4145619249999999,0.6507152900000002,0.00017244500000002105
baseline,3000,50,3,1,1,1000,1.069989533,0.44948485899999974,0.6203268140000002,0.00017785999999997415
baseline,3000,50,3,1,2,1000,1.065651605,0.3554899579999997,0.7097636979999999,0.0003979490000003416
baseline,3000,50,3,2,0,1000,1.097734886,0.4303536599999993,0.6672180689999994,0.00016315700000135713
baseline,3000,50,3,2,1,1000,1.0954388670000001,0.407093264,0.6880550940000002,0.00029050899999993884
baseline,3000,50,3,2,2,1000,1.093116304,0.3414009470000001,0.7512732849999992,0.0004420720000006817
baseline,3000,50,3,3,0,1000,1.049320163,0.431005977,0.6181362409999996,0.00017794500000034574
baseline,3000,50,3,3,1,1000,1.0491154710000001,0.4413481470000005,0.6071007720000003,0.0006665519999993208
baseline,3000,50,3,3,2,1000,1.046987918,0.33007668299999987,0.7165127799999998,0.0003984550000001308
baseline,3000,50,3,4,0,1000,0.979274898,0.41777712700000047,0.56134567,0.00015210099999951598
baseline,3000,50,3,4,1,1000,0.98360768,0.45278351700000014,0.5306385370000003,0.00018562599999960572
baseline,3000,50,3,4,2,1000,0.9785108530000001,0.32874714499999996,0.6493488980000002,0.00041480999999987667
baseline,4000,50,3,1,0,1334,1.438474685,0.733054639,0.7052124280000007,0.00020761799999935437
baseline,4000,50,3,1,1,1333,1.44148644,0.768780053,0.6716685180000004,0.0010378689999996915
baseline,4000,50,3,1,2,1333,1.4402863849999998,0.6282050910000003,0.8116703979999997,0.0004108959999997719
baseline,4000,50,3,2,0,1334,1.362397264,0.7403639109999994,0.6218211879999997,0.00021216500000076355
baseline,4000,50,3,2,1,1333,1.365908316,0.7233857340000001,0.6422876300000002,0.00023495199999978844
baseline,4000,50,3,2,2,1333,1.365010576,0.591187873,0.7733899899999997,0.00043271300000025104
baseline,4000,50,3,3,0,1334,1.376414758,0.7379159839999998,0.638292019,0.00020675500000011393
baseline,4000,50,3,3,1,1333,1.380630754,0.7343448490000005,0.646058359,0.0002275459999995233
baseline,4000,50,3,3,2,1333,1.381442906,0.5838144129999997,0.7972734030000004,0.0003550899999998913
baseline,4000,50,3,4,0,1334,1.4482899889999998,0.753966717,0.6941026850000007,0.00022058699999916165
baseline,4000,50,3,4,1,1333,1.462143591,0.7676080319999997,0.6942935419999999,0.00024201700000037185
baseline,4000,50,3,4,2,1333,1.446723932,0.5986804280000004,0.8476594929999994,0.00038401100000018396
baseline,5000,50,3,1,0,1667,2.888296539,1.1482778420000004,1.7389171110000001,0.0011015859999996547
baseline,5000,50,3,1,1,1667,2.893356232,1.6370112749999999,1.2551077309999994,0.0012372260000006463
baseline,5000,50,3,1,2,1666,2.893600987,1.648107737000001,1.2445134189999998,0.0009798309999993204
baseline,5000,50,3,2,0,1667,1.9188716689999998,1.1446052649999998,0.7739999229999999,0.0002664810000001516
baseline,5000,50,3,2,1,1667,1.920133575,1.1218407079999992,0.7980272870000003,0.0002655800000004316
baseline,5000,50,3,2,2,1666,1.914556399,0.9077106989999999,1.00634396,0.0005017400000002503
baseline,5000,50,3,3,0,1667,1.845269325,1.14678157,0.6982402430000002,0.00024751199999994977
baseline,5000,50,3,3,1,1667,1.8492126260000001,1.1499364479999992,0.6989893270000002,0.00028685100000080954
baseline,5000,50,3,3,2,1666,1.8420498730000001,0.892693638,0.9488212090000002,0.000535025999999883
baseline,5000,50,3,4,0,1667,1.96897374,1.1693177660000007,0.7993592150000005,0.00029675899999881405
baseline,5000,50,3,4,1,1667,1.9745017249999999,1.145679766,0.8285478539999991,0.0002741050000008016
baseline,5000,50,3,4,2,1666,1.970101017,0.9248274409999999,1.0446850049999996,0.0005885710000004263
baseline,6000,50,3,1,0,2000,2.8606387119999996,1.9379016380000014,0.9215515839999995,0.00118548999999879
baseline,6000,50,3,1,1,2000,2.86390719,1.9471449000000014,0.914593492,0.002168797999998584
baseline,6000,50,3,1,2,2000,2.86628025,1.5596012080000006,1.3060944420000011,0.0005845999999982698
baseline,6000,50,3,2,0,2000,2.666977905,1.6832347329999997,0.9834340249999995,0.00030914700000073125
baseline,6000,50,3,2,1,2000,2.6701632060000002,1.6309439489999984,1.0389061990000004,0.000313058000001476
baseline,6000,50,3,2,2,2000,2.66992993,1.358372228000001,1.3109458929999995,0.0006118089999993526
baseline,6000,50,3,3,0,2000,2.429064514,1.6437690500000006,0.7849863009999996,0.0003091629999996126
baseline,6000,50,3,3,1,2000,2.429871792,1.6377943750000004,0.79175924,0.00031817699999980853
baseline,6000,50,3,3,2,2000,2.4309274320000003,1.2788434820000003,1.1515293900000003,0.0005545599999996487
baseline,6000,50,3,4,0,2000,2.468041764,1.647584993999999,0.8199850930000002,0.00047167700000094737
baseline,6000,50,3,4,1,2000,2.4757319769999997,1.6647063209999995,0.8106836219999999,0.00034203400000032413
baseline,6000,50,3,4,2,2000,2.4705367920000003,1.2755203169999998,1.1944439909999995,0.0005724840000009834
baseline,7000,50,3,1,0,2334,3.8701116869999996,3.024779653,0.8434547910000013,0.001877242999998363
baseline,7000,50,3,1,1,2333,3.87534658,2.186987979000002,1.6866379280000028,0.0017206729999950099
baseline,7000,50,3,1,2,2333,3.869445969,1.8079027859999992,2.0608080190000004,0.0007351640000003989
baseline,7000,50,3,2,0,2334,3.174245295,2.287579857000001,0.886305106999999,0.0003603309999997695
baseline,7000,50,3,2,1,2333,3.17695925,2.1867224679999984,0.989865898999999,0.00037088300000254204
baseline,7000,50,3,2,2,2333,3.171841214,1.7437129429999993,1.4272792840000026,0.0008489869999981359
baseline,7000,50,3,3,0,2334,3.098573992,2.2768362220000014,0.8212261209999991,0.0005116489999994478
baseline,7000,50,3,3,1,2333,3.102201587,2.211356142,0.8902967610000009,0.0005486839999991888
baseline,7000,50,3,3,2,2333,3.0964190929999997,1.736442517,1.3593610429999998,0.0006155329999999459
baseline,7000,50,3,4,0,2334,3.215596978,2.379788771,0.8354468650000002,0.00036134200000015326
baseline,7000,50,3,4,1,2333,3.2148123170000003,2.2962570600000016,0.9181822959999997,0.00037296099999895027
baseline,7000,50,3,4,2,2333,3.211717841,1.7297335440000012,1.481255146000001,0.0007291509999978185
baseline,8000,50,3,1,0,2667,4.3862333630000006,3.4174297899999995,0.9669602159999984,0.00184335700000271
baseline,8000,50,3,1,1,2667,4.3864617820000005,2.9116320069999997,1.4727107599999993,0.002119015000001445
baseline,8000,50,3,1,2,2666,4.390529519999999,2.283430013000001,2.106425601999999,0.0006739049999993085
baseline,8000,50,3,2,0,2667,4.6077269030000005,3.234074285,1.3730829590000024,0.0005696589999979462
baseline,8000,50,3,2,1,2667,4.609138107,2.888586149999999,1.7197826550000008,0.0007693019999996942
baseline,8000,50,3,2,2,2666,4.604889110999999,2.2587590769999997,2.3453986499999973,0.0007313840000024996
baseline,8000,50,3,3,0,2667,3.806753108,2.9753502789999993,0.8305347870000004,0.0008680420000004574
baseline,8000,50,3,3,1,2667,3.8122733600000003,2.8816681219999998,0.9301324569999994,0.0004727810000011434
baseline,8000,50,3,3,2,2666,3.8103761069999997,2.2562428160000003,1.5534261010000012,0.0007071899999981923
baseline,8000,50,3,4,0,2667,3.862491663,2.950154286,0.9116985669999995,0.0006388100000005448
baseline,8000,50,3,4,1,2667,3.867418089,2.925837526000001,0.9408887410000004,0.0006918219999987318
baseline,8000,50,3,4,2,2666,3.865591274,2.2526826130000006,1.6121397299999995,0.0007689309999996397
baseline,9000,50,3,1,0,3000,5.207723110000001,4.229560845999999,0.9760244159999987,0.00213784800000294
baseline,9000,50,3,1,1,3000,5.209442406,3.969983835999999,1.2372615969999994,0.0021969730000015453
baseline,9000,50,3,1,2,3000,5.209998855,3.1814963299999985,2.027688823999997,0.0008137010000046629
baseline,9000,50,3,2,0,3000,5.273927231,4.371260291999999,0.9017779380000029,0.000889000999998335
baseline,9000,50,3,2,1,3000,5.278005829,3.631325708,1.6461896389999984,0.0004904820000013466
baseline,9000,50,3,2,2,3000,5.278506723,2.862593059999996,2.4151392640000005,0.0007743990000030898
baseline,9000,50,3,3,0,3000,4.712532958,3.664624426999999,1.0473226649999992,0.0005858660000017668
baseline,9000,50,3,3,1,3000,4.716954499000001,3.7097708429999994,1.0063326490000013,0.0008510070000000702
baseline,9000,50,3,3,2,3000,4.713875979,2.8493737010000006,1.8635911490000006,0.0009111289999987893
