experiment,kind,size,np,max_iters,rep,runtime_sec,objective,row_error,col_error,column_syncs,column_payload_bytes,hostnames,local_rows_by_rank,rank_compute_sec,rank_comm_sec,rank_total_sec,max_rank_compute_sec,max_rank_comm_sec,max_rank_overhead_sec,max_rank_total_sec,min_rank_total_sec,rank_imbalance_pct,json
baseline,seq,2000,1,50,1,0.9680796580000001,0.10013719867162223,2.0041412633186456e-09,2.004141259957619e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,0.9680796580000001,0.9680796580000001,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n2000_iters50_rep1.json
baseline,seq,2000,1,50,2,0.5159316260000001,0.10013719867162223,2.0041412633186456e-09,2.004141259957619e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,0.5159316260000001,0.5159316260000001,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n2000_iters50_rep2.json
baseline,seq,2000,1,50,3,0.510090112,0.10013719867162223,2.0041412633186456e-09,2.004141259957619e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,0.510090112,0.510090112,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n2000_iters50_rep3.json
baseline,seq,2000,1,50,4,0.553761745,0.10013719867162223,2.0041412633186456e-09,2.004141259957619e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,0.553761745,0.553761745,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n2000_iters50_rep4.json
baseline,mpi,2000,3,50,1,0.6630871939999999,0.100137198671619,2.0041412377314743e-09,2.0041412088916966e-09,50,800000,vmubuntu;VMubuntu;quan,"[667, 667, 666]","[0.19296780499999985, 0.2529684310000002, 0.15111033400000018]","[0.46999612399999974, 0.4081331769999998, 0.5100064830000001]","[0.6630871939999999, 0.6617795980000001, 0.661283485]",0.2529684310000002,0.5100064830000001,0.0006779900000000727,0.6630871939999999,0.661283485,0.27201686540185716,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n2000_np3_iters50_rep1.json
baseline,mpi,2000,3,50,2,0.513135393,0.100137198671619,2.0041412377314743e-09,2.0041412088916966e-09,50,800000,vmubuntu;VMubuntu;quan,"[667, 667, 666]","[0.17928768199999992, 0.18228212600000004, 0.14195482699999995]","[0.33374848100000004, 0.3281824089999998, 0.37059735499999985]","[0.513135393, 0.510704742, 0.5126975770000001]",0.18228212600000004,0.37059735499999985,0.00024020700000021433,0.513135393,0.510704742,0.4736860939935107,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n2000_np3_iters50_rep2.json
baseline,mpi,2000,3,50,3,0.58197477,0.100137198671619,2.0041412377314743e-09,2.0041412088916966e-09,50,800000,vmubuntu;VMubuntu;quan,"[667, 667, 666]","[0.18338801299999996, 0.18606533300000022, 0.1415327230000002]","[0.39809319800000004, 0.3944852929999999, 0.44025966]","[0.581596331, 0.580675779, 0.58197477]",0.18606533300000022,0.44025966,0.00018238699999978403,0.58197477,0.580675779,0.22320400590561196,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n2000_np3_iters50_rep3.json
baseline,mpi,2000,3,50,4,0.524226086,0.100137198671619,2.0041412377314743e-09,2.0041412088916966e-09,50,800000,vmubuntu;VMubuntu;quan,"[667, 667, 666]","[0.17995402699999977, 0.18307206799999973, 0.14245604699999992]","[0.34417425999999995, 0.3391581940000003, 0.381363277]","[0.524226086, 0.522348733, 0.523966748]",0.18307206799999973,0.381363277,0.00014742400000006262,0.524226086,0.522348733,0.35811895862046556,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n2000_np3_iters50_rep4.json
baseline,seq,3000,1,50,1,1.921597472,0.10008101795440717,3.0041238938734866e-09,3.0041239282969055e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,1.921597472,1.921597472,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n3000_iters50_rep1.json
baseline,seq,3000,1,50,2,1.122294417,0.10008101795440717,3.0041238938734866e-09,3.0041239282969055e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,1.122294417,1.122294417,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n3000_iters50_rep2.json
