experiment,kind,size,np,max_iters,rep,runtime_sec,objective,row_error,col_error,column_syncs,column_payload_bytes,hostnames,local_rows_by_rank,rank_compute_sec,rank_comm_sec,rank_total_sec,max_rank_compute_sec,max_rank_comm_sec,max_rank_total_sec,min_rank_total_sec,rank_imbalance_pct,json
process_extra,mpi,8000,8,50,1,6.951152941999999,0.09999732950016638,8.003961399449767e-09,8.003961410589944e-09,50,3200000,vmubuntu;VMubuntu;quan;vmubuntu;VMubuntu;quan;vmubuntu;VMubuntu,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[1.8519378900000014, 1.0743720319999963, 4.371799383000003, 1.8492998559999987, 1.1615249920000026, 4.447293634999998, 1.80865834, 1.1942818380000055]","[5.093261971999998, 5.8644739989999985, 2.565143591000001, 5.086958427000002, 5.7891197070000056, 2.4922981789999987, 5.132579742999998, 5.752484635999999]","[6.947282533999999, 6.93938943, 6.939965744999999, 6.93861938, 6.951152941999999, 6.941553525, 6.94347816, 6.947230386999999]",4.447293634999998,5.8644739989999985,6.951152941999999,6.93861938,0.18030910993584892,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_supplemental/process_extra_mpi_n8000_np8_iters50_rep1.json
process_extra,mpi,8000,8,50,2,7.029933495,0.09999732950016638,8.003961399449767e-09,8.003961410589944e-09,50,3200000,vmubuntu;VMubuntu;quan;vmubuntu;VMubuntu;quan;vmubuntu;VMubuntu,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[1.4098267399999986, 1.3182737879999982, 4.620843417, 1.445559085, 1.4176437089999958, 4.646374548999999, 1.471651775000001, 1.3034957470000021]","[5.607733584000002, 5.6849866460000005, 2.4060892079999996, 5.576107305000001, 5.591174380000001, 2.347273147000003, 5.548126907, 5.708270400000001]","[7.0181354250000005, 7.003759327, 7.029933495, 7.0224336030000005, 7.0094986740000005, 6.995633672, 7.020392914, 7.0122585509999995]",4.646374548999999,5.708270400000001,7.029933495,6.995633672,0.4879110595341352,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_supplemental/process_extra_mpi_n8000_np8_iters50_rep2.json
process_extra,mpi,8000,8,50,3,4.9825421379999995,0.09999732950016638,8.003961399449767e-09,8.003961410589944e-09,50,3200000,vmubuntu;VMubuntu;quan;vmubuntu;VMubuntu;quan;vmubuntu;VMubuntu,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[1.3864292500000024, 1.2591522609999997, 2.201872014999998, 1.4248426049999992, 1.1739557849999995, 2.179613113, 1.3893505560000001, 1.2067345549999988]","[3.585527875000003, 3.7130109129999975, 2.7785337700000023, 3.5556210229999987, 3.788039690999999, 2.781882189, 3.581347336, 3.770948729]","[4.972544499, 4.972603725, 4.981803858, 4.9825421379999995, 4.9624702439999995, 4.962983558, 4.9727939359999995, 4.978302432]",2.201872014999998,3.788039690999999,4.9825421379999995,4.9624702439999995,0.40284444053004775,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_supplemental/process_extra_mpi_n8000_np8_iters50_rep3.json
size_probe,mpi,14000,3,50,1,12.347758451999999,0.09999769266190045,1.4003932208335869e-08,1.4003932196097937e-08,50,5600000,vmubuntu;VMubuntu;quan,"[4667, 4667, 4666]","[9.199051762000005, 11.046425717999997, 7.123917708000004]","[3.1419654500000016, 1.3004192960000083, 5.2069321499999965]","[12.341888685999999, 12.347758451999999, 12.336995515]",11.046425717999997,5.2069321499999965,12.347758451999999,12.336995515,0.08716510807883339,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_supplemental/size_probe_mpi_n14000_np3_iters50_rep1.json
size_probe,mpi,16000,3,50,1,16.651469932999998,0.09998836817799232,1.6003912921494913e-08,1.6003912905353853e-08,50,6400000,vmubuntu;VMubuntu;quan,"[5334, 5333, 5333]","[12.60409828, 13.877257666000006, 10.18835060900001]","[4.044331294999991, 2.7728685609999992, 6.460430615]","[16.649392136, 16.651469932999998, 16.65014958]",13.877257666000006,6.460430615,16.651469932999998,16.649392136,0.01247815963610837,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_supplemental/size_probe_mpi_n16000_np3_iters50_rep1.json
size_probe,mpi,18000,3,50,1,20.962389741,0.09998771126119721,1.8003931725054745e-08,1.800393166421745e-08,50,7200000,vmubuntu;VMubuntu;quan,"[6000, 6000, 6000]","[17.155702882999993, 17.850820403000004, 12.585335198000001]","[3.788925217000005, 3.110044481999992, 8.368472505]","[20.946147195, 20.962389741, 20.955600944]",17.850820403000004,8.368472505,20.962389741,20.946147195,0.07748422866229213,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_supplemental/size_probe_mpi_n18000_np3_iters50_rep1.json
speedup2n,mpi,16000,1,50,1,36.525317966,0.0999883681780283,1.6003912910205658e-08,1.600391287552474e-08,50,6400000,vmubuntu,[16000],[36.520502881999995],[0.0007006209999955715],[36.525317966],36.520502881999995,0.0007006209999955715,36.525317966,36.525317966,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_supplemental/speedup2n_mpi_n16000_np1_iters50_rep1.json
speedup2n,mpi,16000,2,50,1,33.749757024000004,0.09998836817800602,1.6003912922863718e-08,1.600391290089507e-08,50,6400000,vmubuntu;VMubuntu,"[8000, 8000]","[20.940327223000004, 29.31090625399999]","[12.803604726000001, 4.434623215000007]","[33.74493055, 33.749757024000004]",29.31090625399999,12.803604726000001,33.749757024000004,33.74493055,0.01430076665906909,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_supplemental/speedup2n_mpi_n16000_np2_iters50_rep1.json
speedup2n,mpi,16000,4,50,1,14.641471676,0.09998836817800018,1.60039129149897e-08,1.6003912903700445e-08,50,6400000,vmubuntu;VMubuntu;quan;vmubuntu,"[4000, 4000, 4000, 4000]","[12.034399193999993, 10.477477333, 7.3555970619999975, 11.931620514000008]","[2.605739978000007, 4.162987552999999, 7.2799888510000015, 2.6883131579999966]","[14.641352474000001, 14.641471676, 14.637211122, 14.623385302]",12.034399193999993,7.2799888510000015,14.641471676,14.623385302,0.12352838840405676,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_supplemental/speedup2n_mpi_n16000_np4_iters50_rep1.json
speedup2n,mpi,16000,8,50,1,16.720787278,0.09998836817800427,1.600391291729363e-08,1.6003912901301647e-08,50,6400000,vmubuntu;VMubuntu;quan;vmubuntu;VMubuntu;quan;vmubuntu;VMubuntu,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]","[7.798467586999996, 5.7300049669999975, 4.196324543000001, 7.508118814999998, 6.141010132999996, 4.279537210999994, 8.113030553999996, 5.929999582000001]","[8.917021420999996, 10.982511472999994, 12.497640816000004, 9.205039890000002, 10.573384372000003, 12.433469254000002, 8.604157529999998, 10.789753088000003]","[16.718061373, 16.713516083, 16.696066741, 16.715557727, 16.716460128999998, 16.714355149, 16.718513423, 16.720787278]",8.113030553999996,12.497640816000004,16.720787278,16.696066741,0.14784314033183002,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_supplemental/speedup2n_mpi_n16000_np8_iters50_rep1.json
